Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
SOLUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-15.852310428000004,1,0.0,14,26,72,2,72,72,False
SOLUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.9211866840000322,5,40.0,4,60,62,2,78,12,False
SOLUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.4517688079999997,5,80.0,10,16,76,8,14,12,False
SOLUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-6.602005883999995,6,66.66666666666666,6,44,62,2,8,20,False
SOLUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,43.27580787199998,6,83.33333333333334,10,30,68,3,50,72,False
SOLUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,25.367972388000016,10,90.0,8,48,62,4,62,50,False
SOLUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.215845447999998,4,75.0,8,32,66,4,66,30,False
SOLUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.035780032000002,1,0.0,12,48,64,3,28,66,False
SOLUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.561228583999985,13,76.92307692307693,4,46,60,4,38,56,False
SOLUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,6.412844584000021,10,80.0,12,78,58,2,34,48,False
SOLUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.3788477639999814,11,63.63636363636363,6,54,58,5,30,34,False
SOLUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.3297588599999632,5,60.0,22,26,62,5,42,76,False
SOLUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-2.142045495999989,5,20.0,20,76,50,1,34,62,True
SOLUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.8811821999999756,6,50.0,12,28,66,5,52,68,True
SOLUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.8481663920000297,7,85.71428571428571,8,20,70,7,50,36,True
SOLUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-14.261465880000014,1,0.0,8,22,68,1,64,18,True
SOLUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,8.971670583999881,16,68.75,18,14,64,1,66,62,False
SOLUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-12.144172911999995,3,33.33333333333333,4,32,64,5,52,36,True
SOLUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.2245849880000224,4,75.0,16,14,64,1,48,26,False
SOLUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-7.145481208000071,11,63.63636363636363,16,30,56,2,8,58,True
SOLUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.751282480000004,5,80.0,22,16,54,1,24,76,True
SOLUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.8224921279999862,51,64.70588235294117,16,38,48,5,76,38,False
SOLUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,24.87912104000005,28,82.14285714285714,14,18,58,2,72,10,False
SOLUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.6576725199999975,7,71.42857142857143,22,64,56,2,38,18,False
SOLUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,4.7520165039999895,21,80.95238095238095,4,16,64,2,32,56,False
SOLUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-7.728618840000001,4,50.0,6,36,62,1,44,66,False
SOLUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-6.651783160000047,18,83.33333333333334,8,18,62,3,58,42,False
SOLUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,34.513799359999986,31,90.32258064516128,8,10,62,1,66,20,False
SOLUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.302047079999998,8,62.5,4,26,64,2,6,40,False
SOLUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-6.915675719999959,6,66.66666666666666,14,12,74,7,64,60,False
