Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
TRXUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.0538728164000597,11,81.81818181818183,4,72,62,6,54,12,False
TRXUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.9423554082400032,9,77.77777777777779,10,68,62,3,16,56,False
TRXUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.9661901461200504,5,80.0,14,66,62,8,74,42,False
TRXUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.4603816319199936,4,75.0,12,24,72,7,42,66,False
TRXUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-2.8732492295199696,3,66.66666666666666,12,64,64,2,28,44,False
TRXUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.787087444999994,1,0.0,4,72,64,2,64,68,False
TRXUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.43703629215997575,6,50.0,8,8,86,2,52,60,False
TRXUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.6432027050400055,2,50.0,6,70,64,2,44,72,True
TRXUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.07937352295997,12,75.0,20,14,70,9,42,26,False
TRXUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.13176407520001376,1,0.0,8,28,78,8,8,16,True
TRXUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,14,58,62,6,32,18,True
TRXUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,6,30,74,1,74,74,True
TRXUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.7505161824000304,29,65.51724137931035,4,58,62,4,12,58,True
TRXUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.7718269369599415,8,75.0,10,38,66,4,4,72,True
TRXUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.1480625751600044,2,50.0,6,60,64,3,54,22,True
TRXUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.5163701423999716,3,33.33333333333333,14,54,64,2,56,78,False
TRXUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,5.253052645760015,7,71.42857142857143,14,22,72,3,36,28,True
TRXUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-3.044543366680008,2,0.0,4,52,66,7,34,76,False
TRXUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3239534320000237,1,0.0,6,74,62,7,4,72,False
TRXUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.9307450068000156,10,90.0,8,78,60,7,60,44,False
TRXUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.8913985494800158,5,80.0,8,32,68,4,58,66,True
TRXUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.15162222072000464,32,43.75,6,78,60,7,68,18,False
TRXUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,9.452137877480048,7,57.14285714285714,4,26,74,6,34,32,False
TRXUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-0.4827362778799804,5,60.0,6,64,64,3,40,20,False
TRXUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-5.998875973199979,4,50.0,10,30,72,4,68,54,False
TRXUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-6.257684273440023,4,50.0,8,10,86,2,44,40,True
TRXUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.400536230800022,11,81.81818181818183,8,20,64,3,62,36,True
TRXUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,6.5268291041200355,5,80.0,10,32,70,3,60,22,True
TRXUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,1.8923415747599925,1,0.0,10,16,84,9,42,32,False
TRXUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.7993800224799905,4,75.0,10,26,72,9,42,30,True
