Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
UNIUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-14.040632095999971,11,81.81818181818183,14,66,56,2,50,42,False
UNIUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.364636548000034,7,57.14285714285714,12,32,62,5,74,52,False
UNIUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.559334640000002,13,92.3076923076923,14,32,62,5,74,78,False
UNIUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,21.175063728000044,15,86.66666666666667,8,22,66,5,48,48,False
UNIUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.077741056000056,6,83.33333333333334,14,16,72,9,12,20,False
UNIUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.052666912000058,16,81.25,14,20,60,3,10,34,False
UNIUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.033497619999978134,16,87.5,14,4,86,4,68,78,False
UNIUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.480640692000014,20,65.0,10,12,64,2,48,74,False
UNIUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.411427567999949,17,70.58823529411765,16,12,64,2,20,46,False
UNIUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.6606452559999596,18,77.77777777777779,10,16,62,5,18,72,False
UNIUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.3273566319998773,22,81.81818181818183,14,10,60,5,14,64,False
UNIUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.42516698800002,7,57.14285714285714,20,20,60,2,24,66,True
UNIUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-3.4137948320000056,1,0.0,14,26,68,4,16,50,True
UNIUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.977583919999983,1,0.0,10,74,60,6,58,64,True
UNIUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-4.881923387999998,2,50.0,12,62,60,5,40,32,True
UNIUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.4908212199999604,7,85.71428571428571,22,28,60,2,48,76,True
UNIUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.4612728079999915,18,83.33333333333334,10,46,58,7,46,46,True
UNIUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.9469741920000052,3,66.66666666666666,22,28,68,6,72,78,True
UNIUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.5294445039999993,14,64.28571428571429,16,22,56,2,64,46,True
UNIUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.5309569200000253,11,90.9090909090909,10,64,58,9,28,42,True
UNIUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.9573021039999805,6,66.66666666666666,8,56,60,8,34,18,True
UNIUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.26151262800002684,23,65.21739130434783,8,60,56,2,12,44,False
UNIUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,10.01042816399995,12,66.66666666666666,8,44,64,2,32,18,False
UNIUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,23.795011404000043,6,83.33333333333334,16,20,70,7,16,78,False
UNIUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,19.253946088000017,3,33.33333333333333,20,24,70,2,12,66,False
UNIUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.213387631999971,2,0.0,12,66,60,3,62,64,False
UNIUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-6.187098067999964,17,64.70588235294117,16,8,66,2,52,56,False
UNIUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-12.377960791999998,4,50.0,10,52,62,6,28,40,False
UNIUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-13.026716172000052,12,66.66666666666666,22,18,62,2,30,66,False
UNIUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,7.348379328000032,13,76.92307692307693,20,72,54,3,64,74,False
