Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
UNIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.956544804000009,2,0.0,16,22,62,2,44,28,False
UNIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.599535475999983,25,68.0,4,16,54,2,26,26,False
UNIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,8.039040079999982,7,100.0,8,14,68,4,20,12,False
UNIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,54.889332312000015,4,100.0,14,6,78,3,6,26,False
UNIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,24.283142124,7,85.71428571428571,8,6,76,3,34,28,False
UNIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.59193193600002,11,72.72727272727273,4,16,56,2,48,24,False
UNIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-7.4785606839999685,8,87.5,8,20,58,2,68,58,False
UNIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-21.130901804,7,57.14285714285714,6,6,68,2,52,72,False
UNIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.5291487360000069,7,71.42857142857143,14,8,56,3,26,62,False
UNIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.1256953999999606,23,56.52173913043478,4,12,54,3,26,76,False
UNIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.5782432800000255,9,66.66666666666666,20,6,48,5,76,38,False
UNIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.19912372800002,12,50.0,4,76,54,5,8,48,True
UNIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-3.2154858399999986,2,50.0,4,10,74,7,14,38,True
UNIUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.308234648000008,2,100.0,4,38,58,3,52,12,True
UNIUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.8712553680000372,7,85.71428571428571,18,44,50,6,10,46,False
UNIUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.410500832000057,5,40.0,22,76,48,4,8,14,False
UNIUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.4187832040000061,5,20.0,12,54,50,3,8,38,True
UNIUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.326912592000018,10,70.0,8,44,54,8,28,64,True
UNIUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.3217398360000123,22,40.909090909090914,20,74,42,9,10,48,False
UNIUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.995854960000032,2,100.0,16,28,56,2,64,54,True
UNIUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.2007625000000095,9,88.88888888888889,4,48,56,3,16,60,True
UNIUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-11.51781273200002,2,50.0,18,74,54,2,36,74,False
UNIUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,14.394885212000009,5,80.0,22,32,58,4,52,20,False
UNIUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,12.722074040000052,8,87.5,16,36,56,7,68,34,False
UNIUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,13.207283720000017,9,77.77777777777779,6,60,58,3,28,62,False
UNIUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-7.225613516000006,1,0.0,16,54,58,3,8,46,False
UNIUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.34990373999996827,8,87.5,8,38,60,3,28,28,False
UNIUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-12.072893984000043,7,85.71428571428571,4,36,58,2,54,52,False
UNIUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-11.983683560000024,23,78.26086956521739,6,8,48,2,60,48,False
UNIUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,4.563518591999993,2,100.0,12,28,60,2,20,50,True
