Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
WLDUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-12.75862255400001,6,66.66666666666666,6,12,68,5,12,38,False
WLDUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.415947143599987,7,57.14285714285714,14,32,58,5,54,20,False
WLDUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,6.4417956748000105,15,80.0,10,42,56,5,78,68,False
WLDUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,18.36810551479997,16,93.75,12,8,62,5,60,16,False
WLDUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,15.666367926000003,11,90.9090909090909,6,16,64,8,40,34,False
WLDUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.786618560799982,2,0.0,10,16,72,3,24,60,False
WLDUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-16.701766996400004,4,50.0,14,26,62,6,12,32,False
WLDUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-20.872214273199997,4,25.0,6,12,78,3,60,18,False
WLDUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.3631998455999947,5,60.0,4,20,70,3,38,32,False
WLDUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.286165565999978,7,42.857142857142854,14,8,76,2,26,14,False
WLDUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.940681797999999,29,65.51724137931035,8,36,52,9,58,14,False
WLDUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-17.842005185999987,26,69.23076923076923,6,8,58,3,34,16,False
WLDUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.7936800180000905,32,87.5,6,6,62,7,38,70,False
WLDUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.483867718,16,68.75,6,12,56,3,38,48,True
WLDUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.0656368660000304,13,76.92307692307693,6,10,58,4,74,72,True
WLDUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.5641324504000131,4,75.0,16,12,54,3,36,72,True
WLDUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.046969595200041514,43,55.81395348837209,14,38,42,5,34,24,False
WLDUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.6594927200000211,37,37.83783783783784,22,74,40,7,40,14,False
WLDUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.45113959039999596,93,58.06451612903226,6,46,42,9,56,58,False
WLDUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.964106098800001,15,86.66666666666667,10,10,56,4,58,62,True
WLDUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.6857755815999909,128,58.59375,4,40,40,6,24,34,False
WLDUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.3728869352001025,23,82.6086956521739,14,14,50,8,50,38,False
WLDUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.869580611600168,63,90.47619047619048,4,8,52,5,74,42,False
WLDUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.270234558,9,77.77777777777779,20,4,80,3,34,56,False
WLDUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-5.631443224400012,2,50.0,4,76,60,5,20,22,True
WLDUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.964054037599963,35,68.57142857142857,8,10,50,3,42,42,False
WLDUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.924129418800071,19,89.47368421052632,18,8,56,5,64,68,False
WLDUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,7.052727793200009,34,82.35294117647058,6,6,62,6,50,64,False
WLDUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-13.67933898639998,22,81.81818181818183,8,8,62,6,12,30,False
WLDUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.0290574431999895,25,68.0,10,48,50,5,6,68,False
