Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
XRPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-4.33469636560001,3,33.33333333333333,4,48,62,3,72,74,False
XRPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.923683418799998,26,69.23076923076923,4,18,60,4,56,64,False
XRPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.1369180232000398,16,68.75,20,12,64,6,14,50,False
XRPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.4479264731999786,5,80.0,22,76,56,9,68,60,False
XRPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.469055839999904,20,90.0,22,12,62,5,62,34,False
XRPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.12975935159998953,8,62.5,18,52,58,7,34,20,False
XRPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.0260523416000265,3,33.33333333333333,4,50,64,6,12,26,False
XRPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.131903356000001,30,73.33333333333333,16,34,54,4,36,64,False
XRPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.42016382960001764,8,12.5,10,70,60,7,70,12,False
XRPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.0654531688000124,9,44.44444444444444,14,8,72,8,52,48,False
XRPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.5578759963999933,3,66.66666666666666,14,70,60,7,34,50,False
XRPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.09054532560002215,24,66.66666666666666,12,12,60,8,34,78,False
XRPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.7913933012000163,35,74.28571428571429,12,22,54,8,12,30,False
XRPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.876011883999944,28,82.14285714285714,10,18,58,9,46,32,False
XRPUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.7529349648000467,49,65.3061224489796,10,62,52,5,12,56,False
XRPUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.878891449999974,5,60.0,6,30,68,7,70,46,False
XRPUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.254645660399989,5,80.0,18,16,74,9,22,68,True
XRPUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-4.055350753999987,1,0.0,4,78,62,8,56,72,True
XRPUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.2338355803999805,42,78.57142857142857,6,8,64,3,24,76,True
XRPUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-7.765788766399984,5,80.0,6,78,62,3,32,66,True
XRPUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.9364096848000445,35,74.28571428571429,10,12,58,3,30,50,False
XRPUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.8312263855999591,13,53.84615384615385,14,12,58,2,72,60,True
XRPUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,19.22760488640001,93,78.49462365591397,4,14,58,4,8,22,False
XRPUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,42.39121560120003,11,100.0,6,54,64,3,52,42,False
XRPUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,3.263203887599997,1,0.0,4,28,72,5,44,50,False
XRPUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-10.386722183200003,2,50.0,8,68,64,4,6,38,False
XRPUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,16.986298814800026,6,83.33333333333334,4,52,66,4,64,68,False
XRPUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,11.157317735200012,3,66.66666666666666,4,52,68,6,16,50,False
XRPUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-8.073809497599981,1,0.0,4,42,70,5,36,38,False
XRPUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,6.939926294399967,20,95.0,18,10,66,5,68,56,False
