Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
XRPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.74008641200001,12,66.66666666666666,8,10,56,3,60,38,False
XRPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.488086297199969,4,50.0,18,34,52,4,46,18,False
XRPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.6335833496000216,6,50.0,22,68,52,3,32,32,False
XRPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.4506457755999902,5,80.0,20,66,52,7,46,40,False
XRPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.373491010399989,8,75.0,8,26,58,6,26,12,False
XRPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.8172992752000017,5,60.0,6,32,56,6,30,76,False
XRPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.114833754800033,10,50.0,6,42,54,7,70,22,False
XRPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.9912174376000116,4,50.0,10,16,66,3,42,42,False
XRPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.9671325940000086,5,80.0,14,12,62,3,58,68,False
XRPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.0525488279999893,16,75.0,6,8,56,5,28,28,False
XRPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.8240519883999431,9,77.77777777777779,10,38,48,4,20,74,False
XRPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.29410326600010084,26,50.0,18,74,44,7,72,16,False
XRPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,6.118229509600037,3,100.0,20,74,46,6,54,14,False
XRPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.538372062000004,24,62.5,12,58,48,5,68,44,False
XRPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.795669262799965,9,55.55555555555556,18,50,52,2,68,30,False
XRPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.639801004799991,4,75.0,6,50,60,6,70,42,True
XRPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.4297500968000207,1,0.0,6,66,60,5,30,50,True
XRPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.1326316120000586,14,71.42857142857143,4,34,60,5,12,24,True
XRPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.055858110800015,9,55.55555555555556,12,62,52,9,6,74,False
XRPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.085491510399983,1,0.0,4,78,58,4,10,62,False
XRPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.3202989416000177,1,0.0,6,60,58,6,62,64,True
XRPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.18498845520001,14,78.57142857142857,12,14,46,4,72,50,False
XRPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,19.72638204599999,12,75.0,4,70,60,3,62,46,True
XRPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.66038920720001,1,0.0,4,46,64,3,56,18,False
XRPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.958490311999997,1,0.0,4,70,64,5,34,44,True
XRPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,7.046395983999987,1,0.0,4,62,64,7,74,32,False
XRPUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-6.242291268000011,2,50.0,4,62,64,5,56,58,False
XRPUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-18.769051318399978,1,0.0,4,38,68,7,32,28,False
XRPUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.9500912824000238,3,66.66666666666666,20,22,56,7,22,72,False
