Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
NEARUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-11.840702215999988,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,4,26,66,4,20,58,False
NEARUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.977217376000012,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,4,50,62,4,24,28,False
NEARUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.27695426000000634,5,60.0,reports_walkforward/returns_NEARUSDT_1H.pkl,4,28,64,5,18,42,False
NEARUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.655087696000049,12,83.33333333333334,reports_walkforward/returns_NEARUSDT_1H.pkl,8,10,60,6,16,32,False
NEARUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,55.73432323200003,9,77.77777777777779,reports_walkforward/returns_NEARUSDT_1H.pkl,8,46,60,3,4,20,False
NEARUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-7.519772575999973,3,66.66666666666666,reports_walkforward/returns_NEARUSDT_1H.pkl,4,34,62,6,70,54,False
NEARUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.4836939479999978,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,8,50,60,4,64,38,False
NEARUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.06617184800001,2,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,6,38,62,4,38,50,False
NEARUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.412705868000001,3,100.0,reports_walkforward/returns_NEARUSDT_1H.pkl,12,36,62,3,78,26,False
NEARUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,12.997391952000026,4,75.0,reports_walkforward/returns_NEARUSDT_1H.pkl,6,24,66,4,36,52,False
NEARUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.1348132399999997,3,33.33333333333333,reports_walkforward/returns_NEARUSDT_1H.pkl,18,24,60,3,38,36,False
NEARUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-23.325362315999996,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,16,68,56,3,18,18,False
NEARUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.627099199999992,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,12,66,56,6,68,56,True
NEARUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.0475311160000906,19,57.89473684210527,reports_walkforward/returns_NEARUSDT_1H.pkl,8,66,44,8,58,38,False
NEARUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.654038380000001,26,65.38461538461539,reports_walkforward/returns_NEARUSDT_1H.pkl,20,48,42,5,20,46,False
NEARUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.8759920959998779,23,52.17391304347826,reports_walkforward/returns_NEARUSDT_1H.pkl,12,40,42,8,16,20,False
NEARUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.0082869720000045,2,50.0,reports_walkforward/returns_NEARUSDT_1H.pkl,16,50,48,2,62,54,True
NEARUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.367828211999944,33,57.57575757575758,reports_walkforward/returns_NEARUSDT_1H.pkl,10,78,40,8,66,46,False
NEARUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.050017004000073,30,63.33333333333333,reports_walkforward/returns_NEARUSDT_1H.pkl,6,8,44,4,66,54,False
NEARUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.454236152000023,2,100.0,reports_walkforward/returns_NEARUSDT_1H.pkl,10,10,64,2,66,66,True
NEARUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.928482043999935,28,75.0,reports_walkforward/returns_NEARUSDT_1H.pkl,6,8,42,3,70,44,False
NEARUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.177505764000056,22,68.18181818181817,reports_walkforward/returns_NEARUSDT_1H.pkl,8,8,42,3,40,46,False
NEARUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.891099368000031,26,80.76923076923077,reports_walkforward/returns_NEARUSDT_1H.pkl,8,6,40,3,36,16,False
NEARUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,29.250327748000004,5,80.0,reports_walkforward/returns_NEARUSDT_1H.pkl,6,58,58,2,28,66,True
NEARUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.10833017199998185,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,4,26,66,3,36,42,False
NEARUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-5.6669498919999945,1,0.0,reports_walkforward/returns_NEARUSDT_1H.pkl,8,68,56,3,56,40,False
NEARUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-7.47199478399998,11,72.72727272727273,reports_walkforward/returns_NEARUSDT_1H.pkl,4,8,66,3,42,72,False
NEARUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-9.027208555999987,4,50.0,reports_walkforward/returns_NEARUSDT_1H.pkl,6,14,64,2,4,38,False
NEARUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-17.970534796000027,18,66.66666666666666,reports_walkforward/returns_NEARUSDT_1H.pkl,4,4,66,3,20,56,False
NEARUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.168693284000045,4,50.0,reports_walkforward/returns_NEARUSDT_1H.pkl,12,18,62,2,36,66,False
DOGEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-8.422545979439999,12,66.66666666666666,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,20,66,3,28,78,True
DOGEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.4783808200800173,13,76.92307692307693,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,20,66,8,36,64,False
DOGEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7891092134400424,24,75.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,10,70,6,44,18,False
DOGEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.8055275686399863,6,83.33333333333334,reports_walkforward/returns_DOGEUSDT_15min.pkl,22,40,60,7,8,54,False
DOGEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.474603731280016,50,60.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,16,54,50,6,18,30,False
DOGEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,11.77465374768001,5,60.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,10,44,64,4,38,46,False
DOGEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,7.104638071919989,9,77.77777777777779,reports_walkforward/returns_DOGEUSDT_15min.pkl,6,60,62,5,16,42,False
DOGEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.073729780439987,2,0.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,6,62,62,3,8,46,True
DOGEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-6.764359142439991,2,0.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,16,28,68,4,38,40,False
DOGEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.48033904888001855,3,33.33333333333333,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,66,62,6,34,54,False
DOGEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.915840475639996,6,66.66666666666666,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,66,62,4,62,32,False
DOGEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.9526567062799973,6,66.66666666666666,reports_walkforward/returns_DOGEUSDT_15min.pkl,14,26,64,8,66,52,False
DOGEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.500118068480071,36,66.66666666666666,reports_walkforward/returns_DOGEUSDT_15min.pkl,20,4,64,7,42,36,False
DOGEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.559707712160034,13,76.92307692307693,reports_walkforward/returns_DOGEUSDT_15min.pkl,12,26,56,3,68,46,True
DOGEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.06346565035997287,6,50.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,10,74,54,5,32,22,True
DOGEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.582956626039996,6,66.66666666666666,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,42,62,8,72,40,True
DOGEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.3959625871998949,28,78.57142857142857,reports_walkforward/returns_DOGEUSDT_15min.pkl,20,18,52,9,26,30,False
DOGEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.46000733320000764,1,0.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,16,48,64,8,74,54,True
DOGEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.512287607480035,7,85.71428571428571,reports_walkforward/returns_DOGEUSDT_15min.pkl,22,68,58,4,30,78,True
DOGEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.035591292360008,11,81.81818181818183,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,38,64,5,50,24,True
DOGEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.891808225039961,6,83.33333333333334,reports_walkforward/returns_DOGEUSDT_15min.pkl,18,42,64,7,72,74,True
DOGEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,4.767596285959996,7,57.14285714285714,reports_walkforward/returns_DOGEUSDT_15min.pkl,14,16,72,2,34,78,True
DOGEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,51.884562185399965,8,87.5,reports_walkforward/returns_DOGEUSDT_15min.pkl,6,10,82,5,28,12,False
DOGEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.776868601160004,3,66.66666666666666,reports_walkforward/returns_DOGEUSDT_15min.pkl,6,58,64,5,34,42,False
DOGEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.172427156519984,1,0.0,reports_walkforward/returns_DOGEUSDT_15min.pkl,4,72,64,5,74,64,False
