Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
1000PEPEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.6204410983832509,13,69.23076923076923,54,5,1,3
1000PEPEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.306227200578405,3,100.0,53,5,2,3
1000PEPEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.01831808548280467,3,66.66666666666666,48,5,2,3
1000PEPEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.707596542858751,11,63.63636363636363,48,5,2,4
1000PEPEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-81.58937298870036,35,65.71428571428571,44,5,1,3
1000PEPEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.476863077054817,9,88.88888888888889,49,9,2,9
1000PEPEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.6772723900864364,5,60.0,54,8,2,9
1000PEPEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,5.224456394064392,7,85.71428571428571,53,9,2,9
1000PEPEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.1768421056660214,8,87.5,54,8,2,9
1000PEPEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.7674419057707613,3,100.0,52,9,2,9
1000PEPEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-9.25444741494912,7,85.71428571428571,54,8,2,9
1000PEPEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.6040488177923704,8,75.0,43,5,1,3
1000PEPEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-6.173168599290369,7,71.42857142857143,44,6,1,3
1000PEPEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.408370875045197,7,57.14285714285714,50,6,2,4
1000PEPEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-6.413376964697203,3,66.66666666666666,53,7,1,3
1000PEPEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.8368066770520377,7,71.42857142857143,50,7,1,3
1000PEPEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9516341998668798,4,75.0,53,7,2,3
1000PEPEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.7394826203239733,2,50.0,54,8,2,3
1000PEPEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,44,8,1,3
1000PEPEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,4.99242665075359,8,75.0,54,7,1,4
1000PEPEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.330715400028006,7,85.71428571428571,53,5,1,7
1000PEPEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.2556292920736123,1,100.0,43,7,1,4
1000PEPEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-11.741993870138788,20,75.0,46,6,1,2
1000PEPEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,15.517780013814807,15,93.33333333333333,54,5,1,6
1000PEPEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,9.638205344226769,13,84.61538461538461,53,6,1,4
1000PEPEUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-1.2388185779267924,8,87.5,54,5,1,4
1000PEPEUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.977446556833998,3,33.33333333333333,54,6,1,4
1000PEPEUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,12.531678810371938,7,85.71428571428571,53,7,1,5
1000PEPEUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-3.995798985827237,12,66.66666666666666,54,5,1,6
1000PEPEUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.868978248989152,8,87.5,52,5,2,5
