Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
1000PEPEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.1721744035399162,4,50.0,50,9,2,9
1000PEPEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.8127590943064034,4,50.0,53,5,1,4
1000PEPEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.6105623542184135,5,40.0,42,5,2,3
1000PEPEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.010191194549991067,6,66.66666666666666,43,5,2,4
1000PEPEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-54.83183916874523,9,55.55555555555556,42,7,1,2
1000PEPEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,11.628808234992793,7,85.71428571428571,42,8,2,9
1000PEPEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.666232910164033,4,50.0,53,8,2,9
1000PEPEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,8.711258534620804,7,85.71428571428571,41,9,1,9
1000PEPEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.446357680729961,4,75.0,42,9,1,9
1000PEPEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.9318284472907834,5,60.0,53,7,2,9
1000PEPEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.679849404517177,7,57.14285714285714,54,5,1,9
1000PEPEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.964867678564412,8,75.0,53,5,1,8
1000PEPEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,9.57158630624322,5,100.0,53,5,1,8
1000PEPEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5618786633727835,7,71.42857142857143,53,5,1,7
1000PEPEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,8.47405672564725,8,100.0,53,5,1,6
1000PEPEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-18.24548155823359,5,60.0,53,5,1,6
1000PEPEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.806543289621999,3,66.66666666666666,54,7,2,4
1000PEPEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,5.469834613992797,3,66.66666666666666,54,8,1,3
1000PEPEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.2741434701916132,3,66.66666666666666,54,8,1,2
1000PEPEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-22.133171668923644,3,0.0,49,8,1,2
1000PEPEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,7.843835999126347,1,100.0,53,9,2,1
1000PEPEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.439063272118003,2,50.0,47,8,2,2
1000PEPEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-10.216517681962412,7,71.42857142857143,50,8,1,4
1000PEPEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.295118367958818,8,87.5,41,8,2,8
1000PEPEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,6.301464941579593,6,83.33333333333334,41,8,1,7
1000PEPEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.61244523431602,4,75.0,43,7,2,5
1000PEPEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.09466821380479384,3,66.66666666666666,47,6,2,2
1000PEPEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.4549501711939694,4,50.0,47,7,1,2
1000PEPEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,12.37435780248315,7,85.71428571428571,41,7,1,3
1000PEPEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,11.944573516138446,3,100.0,41,6,2,1
