Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
1000SHIBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.388756155520019,5,100.0,49,5,2,3
1000SHIBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.835058741980002,4,100.0,50,5,2,3
1000SHIBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,50,5,1,4
1000SHIBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,42,5,2,3
1000SHIBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-40.97384418498803,16,68.75,40,5,1,4
1000SHIBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.7179567306239827,8,75.0,42,5,2,9
1000SHIBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.6049377927839994,1,0.0,53,8,2,9
1000SHIBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.2104465339159782,3,66.66666666666666,41,7,1,9
1000SHIBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.9656962229199539,4,75.0,42,6,2,9
1000SHIBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,49,9,1,1
1000SHIBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.26659173176799555,5,60.0,41,5,2,9
1000SHIBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.632702404788012,3,100.0,53,7,1,5
1000SHIBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.4115510429919986,1,100.0,48,6,1,5
1000SHIBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.642866856188,3,66.66666666666666,51,6,1,5
1000SHIBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.984615493144016,2,100.0,52,6,1,3
1000SHIBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.274683591320027,4,75.0,51,6,1,4
1000SHIBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,40,8,2,5
1000SHIBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.265321925415998,3,100.0,40,5,1,3
1000SHIBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.201800336404013,1,0.0,48,5,2,2
1000SHIBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-8.21520427486001,6,50.0,40,5,2,9
1000SHIBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,46,9,2,1
1000SHIBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.9777431598239961,2,100.0,49,9,2,9
1000SHIBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-4.260143528916027,4,75.0,49,9,2,9
1000SHIBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-6.496472450092005,2,50.0,53,9,1,1
1000SHIBUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,1.53115335799201,3,100.0,54,9,2,9
1000SHIBUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.5600982774280236,3,66.66666666666666,40,7,1,3
1000SHIBUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.250180047520003,2,0.0,41,5,1,4
1000SHIBUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.9757655560200167,2,50.0,52,7,1,3
1000SHIBUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,2.42349016767196,7,85.71428571428571,45,5,1,4
1000SHIBUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.186844234768004,1,100.0,41,7,1,2
