Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
1000SHIBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,8.007087396067924,7,100.0,51,5,2,4
1000SHIBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.2337948261919927,2,100.0,50,5,2,3
1000SHIBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,51,5,1,2
1000SHIBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.08911001088001136,1,100.0,54,5,2,5
1000SHIBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-56.267050955076,15,60.0,54,5,2,4
1000SHIBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.091851586008002,2,100.0,53,9,2,1
1000SHIBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.4315139512799853,1,100.0,53,9,1,1
1000SHIBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-3.432130375236009,1,0.0,52,9,1,1
1000SHIBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,53,9,1,1
1000SHIBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.044689199623974,2,100.0,45,7,2,1
1000SHIBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.7378918154399838,1,0.0,53,7,2,1
1000SHIBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.358767871068014,6,100.0,54,6,1,5
1000SHIBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.31648202088001565,2,100.0,49,6,1,5
1000SHIBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-8.530588126584027,4,50.0,54,6,1,3
1000SHIBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.7747867953040304,3,100.0,54,6,1,5
1000SHIBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.2057183719399789,4,75.0,54,6,2,2
1000SHIBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-1.4191295304479934,1,0.0,52,6,1,2
1000SHIBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,54,8,2,5
1000SHIBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.0929981453639761,1,0.0,50,5,2,7
1000SHIBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-13.83877055859195,8,50.0,48,5,2,7
1000SHIBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,42,9,2,9
1000SHIBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.469370386000012,1,100.0,42,9,2,9
1000SHIBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.62892916195998,4,75.0,53,9,2,1
1000SHIBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-1.0353454724479905,2,50.0,49,9,2,9
1000SHIBUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.2720442172640114,2,50.0,54,9,2,9
1000SHIBUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.4023678398159767,2,100.0,54,9,2,9
1000SHIBUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.1903519255680135,1,0.0,51,7,1,3
1000SHIBUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.322746716920011,2,100.0,52,8,1,2
1000SHIBUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,5.149578815856004,2,50.0,52,8,1,3
1000SHIBUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.6896634492159945,1,100.0,54,5,2,1
