Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
AAVEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.786141480000004,4,25.0,53,5,1,4
AAVEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.4810426800000007,2,50.0,49,6,1,2
AAVEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.6610807199999855,1,0.0,48,6,1,2
AAVEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-1.1081882399999854,2,0.0,47,6,1,1
AAVEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.9914808800000405,4,75.0,48,6,1,1
AAVEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.7150148000000134,4,75.0,47,6,1,2
AAVEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.3547689200000148,1,100.0,52,7,1,2
AAVEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-21.36650632,2,50.0,48,7,1,2
AAVEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.598631880000001,1,100.0,40,8,2,4
AAVEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,40,8,1,7
AAVEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.2646374800000082,2,100.0,40,8,2,4
AAVEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.42521023999999574,1,0.0,42,9,1,4
AAVEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.8196256000000188,1,0.0,51,9,1,4
AAVEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.787427960000004,1,0.0,42,9,1,4
AAVEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.27291560000000104,1,100.0,42,9,2,9
AAVEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.793586839999998,2,100.0,42,9,2,8
AAVEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-4.8252367599999735,4,50.0,42,5,1,1
AAVEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,44.292981760000046,7,100.0,44,5,2,1
AAVEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.12965392000006126,2,50.0,45,6,1,1
AAVEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.008907119999949,2,50.0,45,6,1,1
AAVEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-3.285528120000003,1,0.0,50,6,1,2
AAVEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.3918070400000175,2,50.0,45,6,2,1
AAVEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-19.56332288,5,60.0,46,6,1,2
AAVEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.3407424399999757,3,100.0,40,9,2,9
AAVEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.7316437199999979,4,75.0,52,9,2,9
AAVEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.8097256799999961,4,75.0,41,9,2,9
AAVEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.5287739199999817,3,66.66666666666666,50,5,2,9
AAVEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.3560890000000168,3,100.0,50,9,2,9
AAVEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,6.820541999999996,6,100.0,51,5,2,8
AAVEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,7.720867120000019,4,100.0,41,6,2,2
