Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
AAVEUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.231910920000061,7,85.71428571428571,43,6,1,3
AAVEUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,7.061168159999975,2,100.0,53,6,1,1
AAVEUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,53,7,2,1
AAVEUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.581648439999973,2,100.0,53,5,2,2
AAVEUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.097287240000003,9,77.77777777777779,53,5,1,2
AAVEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,17.41304468,9,88.88888888888889,49,6,2,2
AAVEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.2186578399999926,1,100.0,54,7,1,1
AAVEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.0608632800000155,10,90.0,46,5,2,2
AAVEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.0360479999999903,1,100.0,47,5,1,1
AAVEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.4209027999999901,2,0.0,44,5,2,1
AAVEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.214467720000002,4,50.0,42,5,1,3
AAVEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.822419360000005,5,80.0,42,5,1,5
AAVEUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.1173368799999972,4,25.0,42,5,2,5
AAVEUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-16.06601547999995,3,33.33333333333333,44,5,1,6
AAVEUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.7354044800000024,1,100.0,43,9,1,4
AAVEUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.9429846399999935,2,0.0,43,9,1,3
AAVEUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-3.4892437199999238,3,66.66666666666666,54,6,2,8
AAVEUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.863754959999998,5,100.0,46,6,2,9
AAVEUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.6389188,1,100.0,44,9,2,4
AAVEUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.2790270799999734,2,50.0,46,6,1,3
AAVEUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.7509655599999627,1,100.0,46,6,1,1
AAVEUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.725571920000003,2,100.0,46,6,1,3
AAVEUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-16.06870052,7,85.71428571428571,46,6,1,3
AAVEUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-0.44931972000004095,2,50.0,40,9,1,9
AAVEUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.248030560000001,5,80.0,40,9,2,9
AAVEUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.596219280000046,4,100.0,40,9,2,9
AAVEUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,40,9,2,9
AAVEUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.4420445200000085,2,100.0,40,9,1,9
AAVEUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.922484439999963,2,100.0,40,9,2,9
AAVEUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,54,9,2,1
