Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ADAUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.8887448659999473,6,50.0,43,5,1,3
ADAUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.04357271040001,2,50.0,42,5,2,3
ADAUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.6420695636000016,1,0.0,42,6,1,2
ADAUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.1921593360000102,3,100.0,45,6,2,3
ADAUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,17.122545536799947,7,100.0,45,5,1,4
ADAUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.106683210000051,4,75.0,42,6,2,3
ADAUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.069973990399999,1,0.0,47,5,2,3
ADAUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.009765864400003,5,60.0,42,6,1,2
ADAUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.8413252180000246,3,66.66666666666666,44,5,1,2
ADAUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.7809702624000048,1,100.0,43,6,1,2
ADAUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.42487384799998473,1,0.0,42,5,1,2
ADAUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.4964697724000118,4,75.0,43,5,1,5
ADAUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.3404579424000085,2,100.0,43,5,1,5
ADAUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-11.158711005600018,4,50.0,41,5,2,2
ADAUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.9113328976000172,3,100.0,43,5,1,2
ADAUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.7777015895999995,5,60.0,43,5,1,2
ADAUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-6.300980801999989,1,0.0,44,5,2,2
ADAUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,6.022757349999952,6,66.66666666666666,43,5,1,2
ADAUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.23098827079999218,2,100.0,43,5,2,9
ADAUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.4093666300000187,1,0.0,53,8,1,7
ADAUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,40,5,2,6
ADAUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.5916184719999995,1,100.0,54,8,2,5
ADAUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-47.53817749879998,7,57.14285714285714,46,5,2,6
ADAUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-10.2293832732,5,60.0,48,8,1,1
ADAUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,2.8017655343999692,1,100.0,52,9,1,1
ADAUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,8.107929718800012,1,100.0,52,9,2,1
ADAUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.7361391295999784,3,66.66666666666666,53,9,2,9
ADAUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.06744525519997158,2,50.0,53,9,2,9
ADAUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,8.646404279200004,2,100.0,52,7,2,9
ADAUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,54,8,2,9
