Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
APTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.649796204,7,85.71428571428571,54,7,2,2
APTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,13.61540198400002,4,75.0,54,7,1,2
APTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.8266223599999742,1,100.0,54,6,2,2
APTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.911708815999984,4,100.0,54,5,1,5
APTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-4.590610259999995,3,33.33333333333333,54,7,2,2
APTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,56.468121803999914,10,100.0,53,6,1,2
APTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.36207522000000214,5,80.0,50,5,2,2
APTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.848802692000009,8,75.0,52,5,1,3
APTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.299690840000004,1,0.0,47,6,2,1
APTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.746503295999971,1,100.0,52,6,1,1
APTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,4.604419339999977,2,100.0,45,5,1,1
APTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.196705840000004,1,100.0,51,5,1,1
APTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.5160470399999904,1,100.0,52,5,1,2
APTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.516508700000054,5,60.0,51,5,2,6
APTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.909199628000004,4,75.0,52,5,1,2
APTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-13.011024164000007,4,25.0,47,5,1,2
APTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5442347480000276,4,75.0,42,7,2,7
APTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,41,9,2,5
APTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-24.80865832799999,2,50.0,41,5,1,2
APTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.30488483240002084,2,50.0,41,9,2,9
APTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.18623251439999766,2,50.0,54,9,2,9
APTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.7292617544000013,2,100.0,54,9,2,8
APTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.9872460064000221,2,50.0,54,9,2,9
APTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.0914940219999965,3,100.0,40,9,2,8
APTUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-2.1164900712000057,2,0.0,40,9,2,4
APTUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-2.529104925200032,3,33.33333333333333,40,7,2,3
APTUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.1505467831999896,1,0.0,40,7,1,5
APTUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.0891141787999787,2,100.0,40,7,2,3
APTUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.354324338399989,2,50.0,40,7,1,5
APTUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-2.86278363000001,1,0.0,52,6,1,1
