Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
APTUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.598927499999996,9,55.55555555555556,54,5,2,2
APTUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,6.564281583999998,2,100.0,45,7,2,2
APTUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.3166538559999932,1,100.0,47,5,1,4
APTUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.722757547999998,3,100.0,47,5,1,6
APTUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.732065515999965,6,83.33333333333334,54,7,1,3
APTUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,46.96418874399999,10,100.0,54,7,1,3
APTUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.020896995999957,5,60.0,54,5,1,3
APTUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.4116204720000534,10,80.0,53,5,1,3
APTUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.2553469159999988,3,66.66666666666666,53,5,1,2
APTUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.05637597999998967,1,100.0,46,6,2,3
APTUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.717162279999985,3,66.66666666666666,53,5,2,2
APTUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.5544467879999644,3,66.66666666666666,49,6,2,2
APTUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.1933849679999886,2,100.0,52,6,2,4
APTUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-6.837916851999982,3,66.66666666666666,52,6,2,4
APTUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.26348836799998665,1,100.0,40,6,1,2
APTUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.701353068000061,8,37.5,43,5,1,3
APTUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.7462024159999867,5,80.0,40,5,1,3
APTUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,50,8,1,2
APTUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-12.596856379999933,2,50.0,40,5,1,5
APTUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,5.982348822399985,5,100.0,40,6,2,4
APTUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-7.4070051096000284,2,0.0,45,6,2,3
APTUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,4.598145941200027,3,66.66666666666666,48,8,1,3
APTUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-4.419234001600037,7,57.14285714285714,50,6,2,3
APTUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,20.861393298400067,8,100.0,52,5,2,2
APTUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.173815392000001,4,50.0,52,9,2,4
APTUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.666829525999983,8,62.5,54,5,2,2
APTUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.0078836980000005,1,0.0,54,9,2,2
APTUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,8.083017529599989,1,100.0,54,8,2,2
APTUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,3.6583765388000122,7,85.71428571428571,54,5,1,1
APTUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-2.489290204800021,2,50.0,46,8,2,4
