Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ARBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.87599135079995,9,88.88888888888889,54,5,1,3
ARBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.6339583824000368,4,75.0,53,5,1,6
ARBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.2247430035999596,2,100.0,53,5,2,4
ARBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.5340196635999845,4,100.0,51,5,1,6
ARBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.381407272000011,9,88.88888888888889,49,5,2,4
ARBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,8.93881429919996,9,66.66666666666666,53,5,2,4
ARBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.8367169352000214,2,50.0,51,5,2,4
ARBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.4428076339999993,8,62.5,43,5,1,3
ARBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.136013772000014,5,60.0,52,5,1,4
ARBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.129866787999979,1,100.0,52,5,1,4
ARBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.018851577999967617,7,85.71428571428571,40,5,1,5
ARBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.3153097552000226,4,75.0,46,5,2,4
ARBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.477843073199959,4,100.0,52,5,2,4
ARBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.975359395200032,4,50.0,52,5,2,4
ARBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.580884522800009,2,50.0,53,5,1,2
ARBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.44562184479997047,2,50.0,53,8,2,6
ARBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,45,8,2,5
ARBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.8143604535999938,1,100.0,44,9,1,5
ARBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,53,9,1,5
ARBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.6816432631999834,1,0.0,43,7,1,6
ARBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.2243038576000278,2,50.0,49,5,1,2
ARBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.6224618128000134,2,100.0,41,5,1,6
ARBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-8.073007159999957,9,66.66666666666666,48,5,2,2
ARBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.00079609200004,10,80.0,41,5,2,3
ARBUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,3.441694764800096,9,55.55555555555556,48,5,2,2
ARBUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.5370162264000111,7,71.42857142857143,50,5,1,7
ARBUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-12.063794403200012,4,50.0,50,5,2,3
ARBUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.7922545199999824,2,100.0,47,7,2,8
ARBUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-6.923664246399985,8,75.0,49,5,1,4
ARBUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,7.221692106800015,4,100.0,49,5,1,4
