Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ATOMUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.784694116000004,7,85.71428571428571,44,5,1,2
ATOMUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.830550287999988,1,100.0,46,5,2,2
ATOMUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,49,5,2,2
ATOMUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.2266931599999698,1,100.0,44,5,2,2
ATOMUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.942151208000058,10,80.0,49,5,1,2
ATOMUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.759424039999984,5,80.0,50,5,2,2
ATOMUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.6913761880000155,2,100.0,49,5,1,2
ATOMUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.512315019999999,6,66.66666666666666,54,5,1,2
ATOMUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.39231059599998,3,66.66666666666666,51,5,1,2
ATOMUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,51,5,1,2
ATOMUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.727062799999991,2,100.0,50,5,2,2
ATOMUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.122068472000007,3,66.66666666666666,51,5,1,2
ATOMUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.17474495999998396,1,100.0,49,5,1,3
ATOMUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.52028795599999,4,75.0,49,5,1,2
ATOMUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.15591259200000707,1,100.0,53,5,2,2
ATOMUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.6674270720000042,4,75.0,49,5,2,2
ATOMUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,53,5,1,5
ATOMUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.9759971240000054,3,66.66666666666666,53,5,1,2
ATOMUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,53,5,1,2
ATOMUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.308712244000021,1,0.0,53,5,1,3
ATOMUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,54,5,1,2
ATOMUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.2693054159999875,1,100.0,44,6,2,2
ATOMUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.388736140000002,5,40.0,52,6,2,2
ATOMUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.5895071880000389,7,71.42857142857143,40,6,1,2
ATOMUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,11.664260024000006,6,100.0,45,7,2,2
ATOMUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-1.0974552959999717,6,50.0,49,6,1,2
ATOMUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.472876032000018,3,33.33333333333333,54,6,1,5
ATOMUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.924751752000021,2,100.0,50,7,1,4
ATOMUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-14.677919832000008,3,33.33333333333333,44,7,1,4
ATOMUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,50,7,1,3
