Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
AVAXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,14.396563924000016,7,100.0,40,5,2,2
AVAXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.336925324000022,4,25.0,41,5,2,2
AVAXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,43,9,2,2
AVAXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,42,8,1,2
AVAXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,28.543740380000028,4,100.0,49,8,2,1
AVAXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,35.233307591999896,6,100.0,47,8,1,2
AVAXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.43998210800000326,1,0.0,50,8,1,2
AVAXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.462813872000062,7,57.14285714285714,54,5,1,3
AVAXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.2954129599999975,3,33.33333333333333,54,7,1,2
AVAXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.46534601999999037,2,50.0,53,6,1,5
AVAXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.1224099999999746,1,100.0,51,7,1,2
AVAXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.476614179999979,2,50.0,48,7,2,2
AVAXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6726453560000012,4,50.0,52,5,2,5
AVAXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.093501476000006,3,100.0,45,6,1,5
AVAXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.0908524360000014,2,100.0,54,7,1,6
AVAXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.041768556000008,3,66.66666666666666,51,6,2,6
AVAXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-19.204672759999987,1,0.0,44,6,1,1
AVAXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,52,9,1,3
AVAXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-3.255607452000009,1,0.0,42,8,1,4
AVAXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.674695976000006,1,100.0,52,9,2,4
AVAXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.31738334399999957,1,100.0,40,9,2,4
AVAXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.4216146000000087,1,100.0,40,8,2,6
AVAXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-9.224071568000014,4,75.0,41,9,2,4
AVAXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.6195465719999653,4,100.0,40,9,2,9
AVAXUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.6256251759999776,4,50.0,40,7,2,9
AVAXUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.2928527520000195,2,100.0,40,9,2,8
AVAXUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.146393452000007,2,0.0,41,7,2,9
AVAXUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.3912703639999968,2,50.0,41,8,2,9
AVAXUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,3.663431868000022,1,100.0,40,8,2,9
AVAXUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,43,8,2,8
