Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
AVAXUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,13.752838908000054,9,66.66666666666666,54,5,1,3
AVAXUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.37030804400010053,5,60.0,54,5,1,3
AVAXUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.7547369360000111,3,66.66666666666666,52,5,1,3
AVAXUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,54,7,1,3
AVAXUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.528114115999984,5,100.0,54,7,1,4
AVAXUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,18.066126287999996,10,70.0,48,6,1,1
AVAXUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.6251416719999847,1,100.0,52,7,1,2
AVAXUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.3803997959999785,2,50.0,54,8,1,2
AVAXUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.0664902079999816,1,100.0,40,6,2,2
AVAXUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.6062133119999813,2,50.0,53,6,1,1
AVAXUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.229581603999975,2,50.0,47,6,2,1
AVAXUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.6526385079999706,3,66.66666666666666,40,5,1,3
AVAXUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2809809319999754,4,50.0,43,5,1,1
AVAXUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.123960695999961,4,50.0,52,5,2,1
AVAXUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.293675235999948,4,75.0,54,5,1,3
AVAXUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.207024468000033,7,57.14285714285714,41,5,2,6
AVAXUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.924740591999984,1,0.0,53,6,1,7
AVAXUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.6743916519999735,2,0.0,54,6,2,1
AVAXUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.4102203800000823,1,0.0,54,6,1,7
AVAXUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.01899254399999606,1,100.0,54,6,2,5
AVAXUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.05791611599998969,1,100.0,54,6,2,5
AVAXUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.723359484000019,1,100.0,49,6,2,5
AVAXUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.172885356000089,7,85.71428571428571,44,6,2,5
AVAXUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-0.8457810320000703,6,83.33333333333334,52,5,1,9
AVAXUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.9042161080000444,6,66.66666666666666,52,6,2,2
AVAXUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-6.847906588000008,3,66.66666666666666,42,7,1,2
AVAXUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,54,9,2,1
AVAXUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,4.228310704000071,6,100.0,54,5,2,8
AVAXUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.579757175999948,2,50.0,54,8,2,1
AVAXUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,54,9,1,1
