Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
BNBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.806457599999984,1,100.0,41,5,2,1
BNBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.6655683600000017,1,100.0,47,5,2,2
BNBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,41,5,2,2
BNBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.4526012799999988,1,100.0,41,5,2,2
BNBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.4503722800000007,3,66.66666666666666,41,5,2,2
BNBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,11.13589399999999,8,87.5,47,5,1,2
BNBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.9921244800000117,1,100.0,53,5,1,2
BNBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,5.335526319999984,2,100.0,53,5,1,2
BNBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.0817264400000193,2,100.0,47,5,2,2
BNBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,54,5,2,2
BNBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.12908844000001363,1,100.0,54,5,2,2
BNBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.536750120000011,2,100.0,53,5,2,1
BNBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,41,5,2,1
BNBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.895270079999969,4,75.0,41,5,2,1
BNBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,40,5,2,1
BNBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.290954799999986,3,33.33333333333333,51,5,1,1
BNBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,54,7,2,2
BNBUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6753748799999792,1,100.0,53,5,2,4
BNBUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,54,8,2,2
BNBUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.5994913999999962,1,100.0,54,5,2,4
BNBUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,50,7,2,2
BNBUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,50,8,2,2
BNBUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.141464800000063,4,100.0,53,5,1,1
BNBUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.1696880799999985,1,100.0,50,5,1,1
BNBUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-6.720605160000015,4,50.0,50,5,2,1
BNBUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.0652436399999816,3,100.0,51,5,2,6
BNBUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,54,5,1,1
BNBUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,54,5,2,1
BNBUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-0.9900169200000364,4,75.0,52,5,1,1
BNBUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.059164000000033745,2,50.0,45,6,2,1
