Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
BNBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.6050516400000454,3,100.0,52,6,1,2
BNBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.4410436800000195,1,0.0,51,6,2,1
BNBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,52,6,1,2
BNBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.6679686400000273,2,100.0,51,6,2,6
BNBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-8.151395079999979,3,66.66666666666666,53,6,2,1
BNBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.8578550800000038,3,100.0,43,9,2,9
BNBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.7937204800000153,1,100.0,43,6,2,1
BNBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.8167415600000134,1,0.0,41,6,1,1
BNBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.5933183200000043,1,100.0,40,6,2,1
BNBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,41,6,1,1
BNBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,43,6,2,1
BNBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.1326579600000315,2,50.0,54,5,1,2
BNBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,48,7,1,3
BNBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.613771080000007,2,100.0,40,7,2,3
BNBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,52,8,2,3
BNBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,3.616048839999997,2,100.0,40,7,2,3
BNBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,40,7,1,7
BNBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,40,7,1,4
BNBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.450699199999994,1,0.0,53,5,2,1
BNBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.1936949600000255,1,0.0,53,5,2,1
BNBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,54,5,2,8
BNBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,52,5,2,8
BNBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,16.268339120000007,5,80.0,49,5,1,1
BNBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.847171440000018,3,100.0,44,5,1,1
BNBUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,11.823631680000002,4,75.0,49,5,2,1
BNBUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-2.545078479999996,1,0.0,52,5,1,1
BNBUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.458068080000019,1,100.0,49,5,2,1
BNBUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,54,5,2,1
BNBUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-3.6057893199999858,3,0.0,49,5,1,1
BNBUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.317379080000027,3,100.0,48,5,1,7
