Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
DOGEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.763154958360017,7,100.0,40,5,2,2
DOGEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.7401736017600191,2,50.0,40,5,2,2
DOGEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,42,5,1,2
DOGEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.1458839052799874,1,100.0,46,5,2,2
DOGEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-15.461681162800067,18,61.111111111111114,46,5,2,2
DOGEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.2830651543199325,14,71.42857142857143,40,5,2,5
DOGEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.4721645939999926,5,80.0,42,7,2,4
DOGEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.6517087556400014,2,50.0,42,8,2,4
DOGEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.414108193919986,4,75.0,42,6,1,5
DOGEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,42,8,1,5
DOGEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.474124029119996,3,100.0,44,7,2,4
DOGEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.7134178494800043,3,100.0,49,6,1,3
DOGEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.21599528343998475,2,50.0,48,6,2,2
DOGEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.9631332522000111,5,60.0,49,6,1,2
DOGEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.5774098752800114,3,100.0,40,6,1,3
DOGEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.232557819439987,4,50.0,54,6,1,3
DOGEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-1.0398303431599976,2,0.0,41,5,1,2
DOGEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.6804735138799876,3,100.0,54,5,1,5
DOGEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.24798961171996758,1,100.0,53,5,1,5
DOGEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.272167960079984,4,75.0,53,5,1,5
DOGEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.3128225014399688,3,66.66666666666666,53,5,1,4
DOGEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.4750931608399807,6,83.33333333333334,51,5,1,5
DOGEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-20.92677528132001,19,78.94736842105263,52,5,2,4
DOGEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.7553844204400084,2,100.0,43,9,2,3
DOGEUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,5.202121516320024,10,100.0,43,5,2,8
DOGEUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.7029447069199621,5,60.0,44,6,1,4
DOGEUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.6802526952799823,3,33.33333333333333,43,5,2,5
DOGEUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.8684725461200378,2,100.0,43,9,2,3
DOGEUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-3.6789026202799557,7,71.42857142857143,43,5,2,5
DOGEUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,53,8,2,2
