Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
DOTUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,10.258102963999939,4,75.0,46,7,2,2
DOTUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.007406544000001,1,100.0,43,6,2,2
DOTUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.156119952000002,1,100.0,46,5,1,2
DOTUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.1681953119999866,1,100.0,46,5,1,3
DOTUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.450531687999939,8,87.5,43,6,2,2
DOTUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,15.06250702799996,12,83.33333333333334,43,5,2,2
DOTUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.166626512000002,2,0.0,46,5,2,2
DOTUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.12622167600000456,7,57.14285714285714,40,5,2,2
DOTUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.295675395999917,4,25.0,41,5,1,2
DOTUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0022238960000198205,1,100.0,54,5,1,5
DOTUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.4715012080000145,2,100.0,40,5,2,3
DOTUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.274820436000004,3,100.0,48,5,1,3
DOTUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.399168383999962,3,66.66666666666666,54,5,1,2
DOTUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.763185948000026,6,66.66666666666666,51,5,1,2
DOTUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.5423862640000054,1,100.0,54,5,1,3
DOTUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.60710650799996,5,60.0,54,5,2,2
DOTUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,44,5,1,4
DOTUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.3265176160000225,2,100.0,47,5,1,4
DOTUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,46,5,1,4
DOTUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.037905579999986116,1,100.0,43,5,1,4
DOTUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,46,5,1,4
DOTUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.8014096999999998,1,100.0,46,5,1,4
DOTUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.7247569120000694,6,83.33333333333334,52,6,1,2
DOTUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-10.693950631999938,10,70.0,40,5,1,2
DOTUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,1.1362122440000233,4,50.0,40,9,2,8
DOTUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.456449967999986,6,83.33333333333334,50,6,2,2
DOTUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.31771027999999424,3,66.66666666666666,51,6,1,3
DOTUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,5.361638792000023,5,100.0,50,6,2,3
DOTUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-10.295537332000004,3,33.33333333333333,51,7,2,2
DOTUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.8904815479999995,2,50.0,50,6,1,2
