Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
DOTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,10.454029667999931,7,100.0,45,5,1,4
DOTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.9865796879999804,2,100.0,50,7,1,2
DOTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,45,5,1,4
DOTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.2256094399999862,2,100.0,42,5,1,5
DOTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.553965727999954,8,75.0,45,5,2,2
DOTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,9.189201756,8,100.0,40,5,2,5
DOTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.9930691040000013,1,0.0,40,5,1,3
DOTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.5657359400000477,6,66.66666666666666,40,5,2,2
DOTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.7737160320000287,3,33.33333333333333,40,5,2,2
DOTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.8871455360000224,1,0.0,41,5,2,4
DOTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.2869596800000096,2,50.0,41,5,2,2
DOTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,3.370097351999979,3,66.66666666666666,54,5,1,4
DOTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.588386240000017,2,100.0,54,5,1,4
DOTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.053714471999988245,4,75.0,47,5,1,3
DOTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.2785867800000119,2,50.0,44,5,1,2
DOTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-17.455841240000026,3,0.0,51,5,2,2
DOTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,46,8,1,7
DOTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,48,8,2,5
DOTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,46,8,1,7
DOTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.6616771800000087,1,0.0,46,8,1,7
DOTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,47,8,1,5
DOTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,47,8,1,5
DOTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-29.028713923999995,4,25.0,52,5,1,2
DOTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-16.533936623999978,2,50.0,44,8,1,9
DOTUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,2.882753791999959,3,66.66666666666666,41,9,2,9
DOTUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,5.941398948000032,2,100.0,42,9,1,9
DOTUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.3905975799999739,2,100.0,42,9,1,9
DOTUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.9640461879999913,1,100.0,41,9,1,7
DOTUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,3.804126287999998,1,100.0,41,9,2,9
DOTUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,40,9,1,8
