Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
EOSUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,8.52287803199998,7,100.0,50,5,2,2
EOSUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.527301431999997,3,100.0,50,5,1,2
EOSUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,44,5,1,2
EOSUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.6462155039999944,2,100.0,49,5,2,2
EOSUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.5652594199999204,11,81.81818181818183,49,5,1,2
EOSUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.5242383999999385,10,90.0,47,5,1,2
EOSUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.7668671120000026,2,0.0,46,5,1,2
EOSUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.1621026400000076,9,88.88888888888889,52,5,1,2
EOSUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,9.18280048800002,5,100.0,54,5,2,2
EOSUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,52,5,1,2
EOSUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.527829835999984,2,50.0,54,5,2,2
EOSUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,3.006724768000013,2,100.0,53,5,1,3
EOSUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.26709946399995355,3,66.66666666666666,54,5,2,2
EOSUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.196334016000003,4,75.0,51,5,2,2
EOSUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.0116237159999875,2,50.0,40,5,2,3
EOSUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.233731600000002,6,83.33333333333334,40,5,2,3
EOSUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,40,5,2,6
EOSUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.437032016000006,2,100.0,40,5,1,3
EOSUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,40,5,2,3
EOSUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.10262191200001158,1,0.0,40,6,1,5
EOSUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,40,5,2,2
EOSUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.6724390399999836,1,100.0,40,6,2,4
EOSUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-12.170164303999986,8,62.5,54,5,1,3
EOSUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.938292163999992,4,50.0,42,9,1,2
EOSUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-2.2376547720000084,5,80.0,42,9,1,2
EOSUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.4381987479999987,3,100.0,46,9,2,8
EOSUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.7368213839999971,1,0.0,44,9,1,3
EOSUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-2.550779364000011,1,0.0,44,9,1,2
EOSUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-2.080667208000009,1,0.0,44,9,1,5
EOSUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,52,8,1,7
