Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
EOSUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.2774392199999984,5,60.0,50,5,1,2
EOSUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.9011453279999859,2,0.0,50,5,1,2
EOSUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,50,5,1,3
EOSUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.5323860119999866,2,100.0,50,5,1,3
EOSUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-3.9121748199999473,9,55.55555555555556,50,5,2,3
EOSUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.586685916000021,4,50.0,53,5,2,3
EOSUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.452910343999969,2,50.0,52,5,1,9
EOSUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.305780252000007,3,66.66666666666666,40,7,1,4
EOSUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.924259764000016,4,75.0,49,5,2,2
EOSUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,45,5,2,3
EOSUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.0888077600000443,2,100.0,45,5,1,2
EOSUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.0142567800000002,3,66.66666666666666,40,5,2,5
EOSUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.4631426559999614,2,100.0,47,5,1,2
EOSUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.7066670199999514,5,60.0,47,5,1,6
EOSUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.8723812439999783,2,100.0,52,5,1,2
EOSUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.733201020000033,2,50.0,49,5,1,2
EOSUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.302667100000022,2,100.0,40,6,1,3
EOSUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.795482919999981,2,100.0,40,6,1,3
EOSUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.08783307600002122,1,0.0,42,5,1,2
EOSUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.492659247999997,1,0.0,40,5,1,3
EOSUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,40,5,1,2
EOSUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.20964821599998018,1,100.0,40,5,2,5
EOSUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-31.502843879999944,3,33.33333333333333,47,6,1,2
EOSUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-26.86924874800004,2,0.0,53,9,2,4
EOSUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,2.0067068799999754,4,75.0,42,9,2,9
EOSUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.873422336000009,2,100.0,46,9,2,7
EOSUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.4341975920000296,2,100.0,46,9,1,9
EOSUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-3.417180032000011,3,66.66666666666666,43,7,2,8
EOSUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,2.413587100000014,1,100.0,43,9,2,7
EOSUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,43,9,1,9
