Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ETHUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.3095327999999906,1,100.0,44,8,1,1
ETHUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,43,5,1,4
ETHUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,40,5,2,1
ETHUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,40,5,2,1
ETHUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-0.37424527999999624,2,50.0,40,6,1,1
ETHUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.89670320000002,6,83.33333333333334,53,5,1,2
ETHUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,51,5,2,1
ETHUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.547693959999986,4,25.0,51,5,1,1
ETHUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.9286769199999831,2,100.0,52,5,1,2
ETHUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,52,5,1,2
ETHUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.4936816799999955,2,50.0,54,5,1,2
ETHUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.3917941599999928,1,100.0,53,5,1,1
ETHUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,54,5,2,6
ETHUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,53,5,2,9
ETHUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.45682064000001077,1,100.0,49,5,1,9
ETHUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-15.460237919999997,5,20.0,42,5,1,1
ETHUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,47,6,1,9
ETHUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.9596992399999893,2,100.0,54,5,1,7
ETHUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,43,6,1,8
ETHUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.17674631999997636,1,100.0,54,5,2,6
ETHUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,54,5,1,8
ETHUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,47,7,1,8
ETHUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-6.046939079999991,1,0.0,54,6,2,1
ETHUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.0693762799999895,1,100.0,42,7,2,8
ETHUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,53,7,2,8
ETHUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-0.6721100000000146,1,0.0,53,8,1,1
ETHUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.09657595999998936,1,100.0,54,5,2,4
ETHUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,45,5,2,9
ETHUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-5.299389600000016,4,50.0,46,5,2,1
ETHUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.47507936000002,1,100.0,48,5,2,1
