Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ETHUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-4.2523321600000275,4,75.0,46,5,2,2
ETHUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.6065563600000212,1,100.0,54,5,2,5
ETHUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,54,7,1,4
ETHUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,53,8,1,4
ETHUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.177891199999966,3,100.0,51,7,2,4
ETHUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.5929509199999572,4,75.0,41,6,2,2
ETHUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.9820171199999894,1,100.0,53,5,2,3
ETHUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.564684719999987,3,66.66666666666666,51,5,1,3
ETHUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.0986159999999967,2,50.0,48,5,2,2
ETHUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,49,5,1,3
ETHUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.1661279199999717,2,100.0,48,5,2,1
ETHUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.819526480000012,1,100.0,49,5,1,3
ETHUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8010128800000071,1,100.0,43,5,1,2
ETHUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.08018063999999381,2,50.0,51,5,1,1
ETHUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,44,5,2,9
ETHUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,3.462258359999981,2,100.0,44,7,2,3
ETHUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,48,7,1,3
ETHUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.49618840000001,3,100.0,43,7,1,3
ETHUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.37391480000002,1,100.0,52,7,2,2
ETHUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.8377311599999993,1,0.0,52,7,2,2
ETHUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,48,7,1,3
ETHUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,52,7,2,4
ETHUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-13.626204000000019,2,50.0,49,6,1,2
ETHUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,46,9,2,9
ETHUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,40,9,2,9
ETHUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-0.03352708000000648,1,0.0,41,5,2,8
ETHUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,40,9,1,7
ETHUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,40,9,2,8
ETHUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,3.6971445599999875,1,100.0,49,8,2,9
ETHUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,4.79329980000005,2,100.0,52,5,1,1
