Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
FILUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.0562898679999497,12,83.33333333333334,50,5,1,8
FILUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.2399870679999925,2,100.0,54,6,1,8
FILUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,54,6,1,8
FILUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.563995472000015,6,100.0,54,6,2,6
FILUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.367918927999968,12,75.0,54,6,1,6
FILUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.932335427999957,10,90.0,51,6,1,6
FILUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.099047243999966,4,50.0,51,5,2,2
FILUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.91717701999994,7,71.42857142857143,54,6,1,2
FILUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.6280983200000163,3,100.0,53,6,2,2
FILUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.014116955999998737,1,0.0,54,5,2,2
FILUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.0251696560000023,2,50.0,51,5,1,3
FILUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,6.997439663999971,3,66.66666666666666,49,5,1,3
FILUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.7963937079999983,3,66.66666666666666,54,5,1,6
FILUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.179763427999993,5,80.0,54,5,2,4
FILUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.489496008000013,5,60.0,54,5,1,5
FILUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.023774660000019,6,66.66666666666666,54,5,1,5
FILUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.37757284799997404,1,100.0,53,5,1,5
FILUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.397461672000013,4,100.0,53,5,2,4
FILUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.6620960079999794,2,100.0,43,5,2,3
FILUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.5423004719999902,1,0.0,41,5,1,3
FILUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,42,5,1,3
FILUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.017720039999979953,1,100.0,44,5,1,2
FILUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.2508419000000317,8,62.5,40,5,1,2
FILUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-2.046562155999998,10,80.0,53,5,1,2
FILUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-7.275857063999935,9,66.66666666666666,54,5,1,3
FILUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,4.371331856000049,7,85.71428571428571,46,6,2,3
FILUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-4.315547392000008,3,66.66666666666666,53,6,2,3
FILUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.774083684000007,4,100.0,40,7,1,4
FILUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-15.525320496000006,3,33.33333333333333,46,6,2,3
FILUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,53,8,2,2
