Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
FILUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.40394826000003103,5,80.0,48,6,2,4
FILUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.1044011599999903,3,66.66666666666666,54,5,1,7
FILUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7101181599999951,1,100.0,54,6,1,5
FILUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-4.90063216000004,5,80.0,54,6,1,6
FILUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.977059611999965,6,50.0,54,6,2,7
FILUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.6011247120000025,3,66.66666666666666,54,6,2,9
FILUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.5485733280000025,2,50.0,54,9,1,2
FILUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-22.705578727999985,3,33.33333333333333,51,7,2,2
FILUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.288247903999995,1,100.0,51,9,2,6
FILUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,42,8,1,4
FILUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.9279948959999951,1,100.0,42,7,1,4
FILUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,7.469205252000011,4,100.0,40,6,1,5
FILUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.995102031999998,2,100.0,52,5,2,2
FILUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.188445480000013,3,66.66666666666666,41,7,1,4
FILUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.80008598399999,5,60.0,53,5,2,2
FILUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.7492005040000205,4,25.0,52,5,1,2
FILUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.5536255840000068,1,100.0,47,7,2,2
FILUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,6.357000871999996,4,100.0,47,6,1,3
FILUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.021745452000010435,2,50.0,47,6,1,2
FILUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.4802561359999902,1,0.0,44,6,1,2
FILUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.4553891760000539,3,66.66666666666666,42,5,2,7
FILUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.272753075999989,2,50.0,44,5,2,2
FILUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-8.385068412000042,5,40.0,54,6,1,2
FILUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-21.09183945600005,6,66.66666666666666,43,5,1,3
FILUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,1.3124503280000033,3,66.66666666666666,46,9,2,5
FILUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-0.3920162800000293,2,50.0,47,9,1,5
FILUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.15381436399999338,3,66.66666666666666,53,9,1,9
FILUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.7046621839999831,2,100.0,53,9,2,7
FILUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-16.932283787999992,1,0.0,41,8,2,7
FILUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,53,9,2,9
