Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ICPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.009599639999939,6,83.33333333333334,41,9,1,8
ICPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.195886703999996,3,100.0,54,7,2,4
ICPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,53,7,1,4
ICPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.637385215999986,1,100.0,54,7,2,4
ICPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.448922440000012,6,100.0,43,7,2,9
ICPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.395971011999983,12,83.33333333333334,54,5,2,4
ICPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,6.52422354799993,8,75.0,52,6,2,2
ICPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-13.838789096000003,6,50.0,51,6,1,2
ICPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,54,7,2,3
ICPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.6822049280000084,1,0.0,52,7,1,2
ICPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,54,7,2,3
ICPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,11.939656460000037,3,100.0,42,5,2,1
ICPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.4306647199999856,2,50.0,42,5,1,2
ICPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-2.4384558320000194,9,44.44444444444444,43,5,2,2
ICPUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.629826656000044,4,75.0,41,5,2,3
ICPUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,12.283099456000034,9,100.0,44,5,1,2
ICPUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.1278061439999867,1,100.0,44,5,1,3
ICPUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.5593850359999957,3,100.0,41,5,1,2
ICPUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.0344785359999404,3,100.0,43,5,1,3
ICPUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.1377206279999719,3,66.66666666666666,42,5,1,2
ICPUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,42,5,1,2
ICPUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.762578504000012,2,100.0,43,5,1,2
ICPUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.851960788000077,10,70.0,54,5,2,2
ICPUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.730740639999966,9,88.88888888888889,50,5,1,3
ICPUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,7.167517824000025,7,71.42857142857143,43,6,1,2
ICPUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-0.31482896000003535,6,50.0,43,5,2,2
ICPUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-8.998767747999992,2,0.0,43,6,2,2
ICPUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,4.481070720000013,5,100.0,43,6,2,4
ICPUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-5.943514104000047,4,50.0,42,6,2,2
ICPUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,54,7,1,6
