Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
ICPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,22.18720408800006,3,100.0,49,9,2,1
ICPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,11.751185968,4,75.0,49,9,2,1
ICPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.9958884799999845,1,100.0,48,9,2,9
ICPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.6229548000000085,1,100.0,43,9,1,9
ICPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,18.753258327999987,3,100.0,43,9,1,9
ICPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-39.88356010000005,3,0.0,52,6,1,1
ICPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.291792083999944,5,60.0,43,5,1,1
ICPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-0.891007484000006,7,85.71428571428571,41,6,2,4
ICPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.229928656000002,4,75.0,41,5,1,4
ICPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.0386006080000074,3,100.0,40,5,1,5
ICPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.6271503360000041,1,100.0,41,7,2,4
ICPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,8.75367508,1,100.0,44,5,2,1
ICPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.333966848000004,1,100.0,53,6,1,1
ICPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.941288203999997,5,60.0,53,6,1,3
ICPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,7.738159760000052,4,100.0,48,6,1,3
ICPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.7604456999999565,1,100.0,41,9,2,9
ICPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-5.752694160000004,1,0.0,45,6,2,1
ICPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,47,9,1,1
ICPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,8.240356076,4,100.0,48,5,1,2
ICPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.20005578800001977,1,100.0,52,9,1,9
ICPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,44,6,2,2
ICPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.5634336959999819,2,50.0,45,6,2,3
ICPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-2.898827972000073,5,80.0,45,6,1,8
ICPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.2537357799999445,6,66.66666666666666,40,6,2,5
ICPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-7.684974263999944,8,75.0,43,5,2,3
ICPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,4.042038228000022,3,66.66666666666666,43,9,2,4
ICPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-9.831899812000033,2,0.0,54,5,2,5
ICPUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,4.339003464000046,4,100.0,48,7,2,6
ICPUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-1.8134344440000172,2,50.0,52,8,2,6
ICPUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,53,8,2,8
