Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
INJUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.220149656000023,5,80.0,43,8,2,2
INJUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.120576535999996,1,100.0,43,8,2,2
INJUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,47,7,2,2
INJUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.095774843999989,2,100.0,48,7,2,2
INJUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,20.63062848799997,9,88.88888888888889,48,7,2,2
INJUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.04682524,6,33.33333333333333,48,7,2,1
INJUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.830780467999939,4,75.0,47,6,1,1
INJUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.097006767999953,10,50.0,48,5,1,1
INJUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.2038632520000165,3,66.66666666666666,54,5,2,1
INJUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.3532331760000238,3,66.66666666666666,46,6,2,2
INJUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.8627946279999965,2,50.0,46,6,2,1
INJUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,17.954688344000047,3,100.0,53,8,2,1
INJUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.4551394359999859,2,50.0,54,7,2,2
INJUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,10.460588968000128,7,71.42857142857143,51,6,2,1
INJUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.1564912759999935,2,100.0,50,6,1,2
INJUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,3.3325323120000583,4,75.0,45,6,1,1
INJUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,48,7,1,2
INJUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.058319423999965,3,66.66666666666666,51,6,2,1
INJUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.4682435319999696,3,66.66666666666666,52,6,2,2
INJUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.300071408000004,5,60.0,54,5,1,3
INJUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.547002531999996,2,50.0,45,5,1,4
INJUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.9210301840000046,3,66.66666666666666,47,5,2,1
INJUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-3.5917227039999444,10,70.0,50,5,1,1
INJUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,10.754296943999986,9,77.77777777777779,49,5,1,2
INJUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,7.678168528000029,10,60.0,54,5,2,2
INJUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.35592739600001,7,0.0,48,5,1,1
INJUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-13.109852368000007,2,0.0,53,6,2,2
INJUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,15.011550520000029,11,63.63636363636363,41,5,2,2
INJUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-14.547073596000004,10,80.0,47,5,2,3
INJUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.6160660560000215,3,100.0,54,6,1,3
INJUSDT,15min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-7.726734524000034,5,60.0,49,7,2,1
INJUSDT,15min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,4.1188357440000045,2,50.0,52,7,1,1
INJUSDT,15min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,-8.878396880000006,2,0.0,45,5,1,3
