Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
INJUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.30166732400002,7,100.0,49,8,1,9
INJUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.794189156000006,5,60.0,45,5,1,2
INJUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.028894388000002,3,66.66666666666666,43,5,2,3
INJUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.4318911440000517,3,33.33333333333333,43,6,1,2
INJUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.30694927600004,9,44.44444444444444,43,5,1,2
INJUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,18.300809148000006,9,66.66666666666666,41,5,2,1
INJUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.771879579999939,5,80.0,41,5,2,2
INJUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,14.942584916000023,4,100.0,40,8,1,3
INJUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.9029897720000095,4,50.0,40,5,1,2
INJUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.9110260880000016,4,50.0,53,7,1,1
INJUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.4304648480000033,3,66.66666666666666,41,5,1,2
INJUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,9.616953432000042,5,80.0,40,5,1,4
INJUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,8.586386616000041,5,80.0,41,5,1,2
INJUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-11.643572996000096,6,50.0,42,5,2,1
INJUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,9.836756140000059,5,100.0,49,6,2,3
INJUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.003583075999996,1,0.0,40,8,2,1
INJUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.0814491519999923,1,100.0,49,9,1,1
INJUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.14674880400000756,2,50.0,40,8,1,1
INJUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,42,9,2,8
INJUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,40,9,2,1
INJUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,8.03605949999997,1,100.0,40,9,2,1
INJUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.6216890679999754,3,66.66666666666666,41,6,1,1
INJUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-11.923347436000075,7,71.42857142857143,46,6,1,1
INJUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.1076391680000297,4,75.0,49,6,1,1
INJUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,10.766827048000005,8,75.0,46,5,1,1
INJUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-9.608554160000027,5,40.0,51,6,1,1
INJUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-23.72698230400001,3,0.0,47,5,2,1
INJUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-7.234029215999982,4,50.0,48,5,1,1
INJUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,10.111233324000013,7,71.42857142857143,48,5,1,1
INJUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,9.653755347999994,5,100.0,49,6,1,6
