Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
LDOUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.692959209600021,11,72.72727272727273,42,5,1,2
LDOUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-12.590593602800016,3,33.33333333333333,54,5,2,3
LDOUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.3010713623999877,1,100.0,49,8,1,3
LDOUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.5289663648000236,3,66.66666666666666,42,7,1,2
LDOUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.434108313600012,4,100.0,41,6,1,2
LDOUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-14.154438379199952,6,33.33333333333333,41,6,2,2
LDOUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.8252194540000266,3,33.33333333333333,50,7,1,2
LDOUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,12.721365529600082,4,75.0,46,5,1,1
LDOUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.5448800304000097,3,33.33333333333333,41,5,1,1
LDOUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.8030218256000285,1,0.0,48,5,2,1
LDOUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-13.365875166000041,3,33.33333333333333,50,5,1,1
LDOUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,14.644099591999948,3,66.66666666666666,47,8,2,1
LDOUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,5.425587070399973,5,80.0,54,6,1,2
LDOUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.9256113744000158,3,66.66666666666666,54,6,2,3
LDOUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.1676213592000106,5,80.0,40,5,2,3
LDOUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.004812552799999,7,57.14285714285714,40,5,2,2
LDOUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-9.766162976000036,2,50.0,47,5,1,1
LDOUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.2933984520000386,1,0.0,48,5,2,1
LDOUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-6.399256462400005,1,0.0,51,6,1,2
LDOUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.208186307199956,3,66.66666666666666,54,6,1,2
LDOUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.8090203572000085,2,50.0,52,8,2,1
LDOUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,3.2326570059999726,3,66.66666666666666,50,7,1,2
LDOUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-10.83418689800001,5,80.0,47,7,1,2
LDOUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-7.932346251599998,6,66.66666666666666,40,5,2,3
LDOUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.3805457008000288,9,66.66666666666666,40,5,2,3
LDOUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.382453511199946,5,80.0,43,6,2,7
LDOUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.5403223039999876,3,66.66666666666666,50,8,1,2
LDOUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,7.150180310800058,5,40.0,47,9,1,1
LDOUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.6671044668000281,3,33.33333333333333,43,9,1,9
LDOUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-6.058824174000021,1,0.0,45,9,2,1
