Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
LINKUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,20.65877747199991,9,100.0,50,5,1,2
LINKUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,6.463506304000011,4,100.0,50,5,1,2
LINKUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-4.859748291999999,4,50.0,53,5,2,2
LINKUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.8345488959999887,1,100.0,45,5,2,1
LINKUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.08473593199993523,7,57.14285714285714,52,5,1,2
LINKUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.285155179999993,7,85.71428571428571,54,5,1,2
LINKUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,54,5,1,2
LINKUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,4.025882688000015,6,66.66666666666666,50,5,1,2
LINKUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.6388008759999897,1,100.0,54,5,2,3
LINKUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-8.5275639,1,0.0,53,5,2,1
LINKUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.5526151240000008,3,100.0,47,5,2,3
LINKUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,51,5,2,1
LINKUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.096352032000004,1,100.0,49,5,2,2
LINKUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.9304997200000025,4,25.0,53,5,1,1
LINKUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.35350244000000863,1,100.0,49,5,1,3
LINKUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.232271687999962,6,66.66666666666666,53,5,1,6
LINKUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,53,9,2,3
LINKUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,43,8,2,3
LINKUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,41,8,2,3
LINKUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.12257207999999409,1,100.0,43,8,1,5
LINKUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,54,9,1,5
LINKUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,53,9,1,4
LINKUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.2602664719999934,7,71.42857142857143,50,5,2,8
LINKUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.232031751999977,8,75.0,54,5,2,2
LINKUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-17.263451128000074,14,71.42857142857143,54,5,1,2
LINKUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,9.091329867999987,5,80.0,50,7,1,2
LINKUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.390114243999977,2,0.0,41,6,2,3
LINKUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,9.51103790799992,5,80.0,45,7,1,3
LINKUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-7.48874312400003,3,33.33333333333333,45,7,1,2
LINKUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,45,7,1,4
