Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
LINKUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.1037890720000165,2,100.0,54,9,2,9
LINKUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.0478016600000037,4,75.0,54,5,1,2
LINKUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.5162891280000035,3,33.33333333333333,46,7,1,4
LINKUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.4737271719999936,1,0.0,40,5,1,2
LINKUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.098703811999996,4,50.0,44,6,1,2
LINKUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.7345745959999928,5,80.0,42,6,1,2
LINKUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.222366879999992,1,100.0,45,6,1,2
LINKUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.210792716000034,4,50.0,41,6,1,2
LINKUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.1647991360000285,1,100.0,45,6,1,2
LINKUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-17.152874624000013,1,0.0,50,5,1,2
LINKUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.9479444799999968,3,100.0,40,5,1,5
LINKUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.0718942120000463,4,75.0,40,5,1,6
LINKUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.5296934840000054,3,100.0,40,5,1,5
LINKUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.4055680399999604,4,75.0,40,5,1,5
LINKUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,6.540835659999988,2,100.0,46,5,1,2
LINKUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.4971366079999844,6,66.66666666666666,44,5,1,2
LINKUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-11.180130024000013,1,0.0,51,5,1,1
LINKUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,14.856476263999973,5,100.0,46,5,1,2
LINKUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.4952071039999839,3,66.66666666666666,43,5,2,2
LINKUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.2018932039999495,2,50.0,44,5,1,2
LINKUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,52,8,1,9
LINKUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,52,8,1,7
LINKUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-8.88079617199995,5,80.0,42,5,2,8
LINKUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-5.9372573999998846,4,75.0,42,5,1,1
LINKUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,1.0837587479999966,4,75.0,53,9,2,9
LINKUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.67099173600005,3,100.0,41,9,2,8
LINKUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.05767480800000779,2,50.0,44,9,2,9
LINKUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.435793671999976,3,100.0,41,9,2,9
LINKUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-1.0957497239999836,3,66.66666666666666,44,7,2,7
LINKUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.4086507840000113,1,100.0,42,7,1,1
