Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
LTCUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.229534679999986,5,80.0,49,5,1,1
LTCUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,44,5,2,1
LTCUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,44,5,1,1
LTCUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-1.5385468800000135,2,50.0,44,5,2,1
LTCUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.442419199999971,9,66.66666666666666,43,5,1,1
LTCUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.608183080000063,8,75.0,42,5,2,1
LTCUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.7509960799999549,7,57.14285714285714,54,5,2,3
LTCUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.5931815200000328,5,100.0,54,5,2,3
LTCUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.9335816800000174,2,100.0,53,5,2,4
LTCUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,54,5,2,3
LTCUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.212379320000001,2,100.0,53,5,2,3
LTCUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.1373862399999943,1,100.0,53,5,2,3
LTCUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.5456868800000514,2,50.0,54,5,1,2
LTCUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.417638119999992,3,66.66666666666666,54,5,2,1
LTCUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.4682822399999842,1,0.0,50,5,2,1
LTCUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.2779210800000347,4,50.0,54,6,1,1
LTCUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,54,6,2,1
LTCUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.0864457599999886,1,100.0,51,6,1,1
LTCUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,50,6,1,4
LTCUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.06545440000000902,1,100.0,54,6,1,7
LTCUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.41082599999997527,1,100.0,54,5,2,3
LTCUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.36193823999999264,1,100.0,53,5,1,4
LTCUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.3851242000000585,7,85.71428571428571,54,5,1,2
LTCUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-13.684815880000023,7,57.14285714285714,40,5,2,2
LTCUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,8.77851839999999,3,100.0,54,9,2,1
LTCUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-1.315077520000052,4,25.0,40,6,1,1
LTCUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.45937383999999,1,0.0,42,7,1,1
LTCUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,7.483775000000037,6,66.66666666666666,42,7,1,1
LTCUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-13.177174599999997,5,40.0,45,6,1,1
LTCUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.817560360000005,4,100.0,54,7,1,4
