Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
LTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.4255654399999873,3,33.33333333333333,52,5,2,1
LTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.003043839999996,1,0.0,50,5,2,1
LTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,54,6,2,1
LTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.43934399999998597,1,0.0,41,5,2,1
LTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.2053970399999576,4,75.0,41,5,2,4
LTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.785295639999962,5,60.0,48,5,2,3
LTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,10.175354839999962,7,100.0,40,5,2,4
LTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.314617040000022,4,75.0,48,5,2,3
LTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.3452859200000065,1,100.0,40,5,2,3
LTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,40,5,1,4
LTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.558815400000002,1,100.0,41,5,2,2
LTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.0412287200000092,1,100.0,42,5,1,1
LTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.27852096000001,2,100.0,40,5,2,1
LTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.5381200399999924,3,66.66666666666666,41,5,1,4
LTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.280913920000005,1,100.0,50,5,1,1
LTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.369233240000018,3,33.33333333333333,45,5,1,1
LTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,43,5,2,1
LTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.473978680000009,2,50.0,43,5,1,7
LTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,40,5,1,2
LTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.5496382000000133,1,0.0,47,5,1,7
LTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-1.5684125200000176,1,0.0,43,5,2,4
LTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,46,6,1,6
LTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.8053620799999615,1,0.0,40,9,1,4
LTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-7.689405319999986,7,71.42857142857143,41,5,2,5
LTCUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.44523448000003407,5,60.0,47,5,1,7
LTCUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.8154532800000336,3,66.66666666666666,53,5,2,7
LTCUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.0945947600000228,3,100.0,54,5,2,8
LTCUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-1.614330359999927,4,75.0,54,5,2,8
LTCUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-3.765131320000037,3,66.66666666666666,54,6,1,9
LTCUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.499399759999954,3,100.0,53,7,2,7
