Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
NEARUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.914258920000016,4,100.0,52,9,2,9
NEARUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.410222083999971,3,100.0,51,9,2,3
NEARUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,49,9,1,4
NEARUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.5024946280000053,2,50.0,53,8,2,3
NEARUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,16.780270036000044,7,100.0,53,7,1,5
NEARUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,25.943947263999956,6,100.0,54,8,1,5
NEARUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,7.891105807999965,4,100.0,47,7,1,5
NEARUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.047546451999964,2,0.0,48,9,1,3
NEARUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-8.511985115999977,4,50.0,53,7,1,4
NEARUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.0191645839999883,1,0.0,42,8,1,4
NEARUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.9767498880000058,1,100.0,41,8,1,4
NEARUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.664006539999988,1,100.0,48,6,1,1
NEARUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.6843928000000137,4,50.0,45,5,2,1
NEARUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-2.5530977040000624,3,66.66666666666666,42,5,2,1
NEARUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.300170936000036,3,100.0,42,6,1,7
NEARUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.238991859999986,4,50.0,44,5,2,1
NEARUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-8.144563871999978,2,50.0,44,5,2,1
NEARUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,4.701183207999993,4,75.0,44,8,1,2
NEARUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.970099115999993,2,100.0,40,7,1,2
NEARUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.2457291240000279,2,50.0,44,7,1,2
NEARUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.326125144000013,3,66.66666666666666,43,5,2,2
NEARUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.0432611359999955,2,50.0,47,7,2,2
NEARUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-7.709014763999944,4,50.0,47,7,1,3
NEARUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.569583520000059,7,100.0,40,6,2,4
NEARUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.7343105599999733,3,66.66666666666666,42,7,1,4
NEARUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-6.026143624000002,4,75.0,42,7,2,2
NEARUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-9.813815288000004,3,33.33333333333333,42,6,1,2
NEARUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,7.203716643999991,5,100.0,42,7,2,8
NEARUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-4.187671775999968,6,66.66666666666666,40,6,1,3
NEARUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,5.17390858400002,4,75.0,41,5,1,1
