Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
NEARUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.757543599999968,11,90.9090909090909,42,6,1,4
NEARUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.0994580000000198,1,100.0,50,9,2,2
NEARUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,51,9,1,2
NEARUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.9975322160000095,2,100.0,40,7,1,4
NEARUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-9.576867059999927,8,75.0,40,7,1,2
NEARUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,13.847378328000094,8,75.0,54,8,2,4
NEARUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.346298752000011,3,100.0,54,8,1,5
NEARUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.0912128360000004,2,50.0,48,8,2,2
NEARUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.8046176359999277,9,66.66666666666666,52,5,1,4
NEARUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.05203221199997499,3,66.66666666666666,54,6,1,7
NEARUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.484867268000012,1,100.0,52,6,1,4
NEARUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.791162791999982,3,100.0,54,6,1,2
NEARUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,10.139444427999988,7,85.71428571428571,54,5,1,2
NEARUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-2.1321820440000416,3,66.66666666666666,52,6,1,2
NEARUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.6073418399999864,3,66.66666666666666,52,5,1,1
NEARUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.25745286800001876,6,66.66666666666666,44,6,1,2
NEARUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.4689573520000767,2,50.0,45,6,1,6
NEARUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.768419212000018,4,75.0,46,6,1,2
NEARUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.0784307440000251,3,100.0,45,6,1,7
NEARUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.9559274719999622,2,50.0,46,6,2,5
NEARUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.3198499960000101,1,100.0,49,6,1,7
NEARUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.070391652000003,4,50.0,49,5,2,4
NEARUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.912099592000009,12,75.0,51,5,1,4
NEARUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,14.522690143999917,10,100.0,49,5,1,4
NEARUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,4.683250407999973,9,88.88888888888889,54,5,2,3
NEARUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.01333784000002,5,60.0,53,5,1,2
NEARUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-7.356602020000014,4,50.0,52,5,1,2
NEARUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,14.791236975999954,9,88.88888888888889,53,5,2,2
NEARUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-0.5266022199999831,8,75.0,47,5,2,3
NEARUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.8141282559999814,4,75.0,54,5,1,1
NEARUSDT,30min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-1.6606456520000035,4,50.0,50,5,2,1
NEARUSDT,30min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,3.6180264840000254,2,100.0,53,6,2,1
NEARUSDT,30min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,4.226155595999992,1,100.0,51,5,1,1
