Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
OPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.9035527588000365,16,62.5,53,5,1,2
OPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.1315355923999912,4,50.0,51,5,2,2
OPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.814084869600019,3,100.0,51,5,2,3
OPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.1914342567999956,4,75.0,54,5,1,4
OPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,15.093195916800006,9,88.88888888888889,45,6,2,3
OPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,15.750175145199963,12,75.0,54,5,1,3
OPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.4627513987999876,2,50.0,44,6,1,2
OPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.319846589199969,10,60.0,47,5,1,3
OPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,7.268233667999935,8,75.0,47,5,1,3
OPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.40623976799998296,4,75.0,54,5,1,3
OPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,6.804283997600025,6,66.66666666666666,44,5,1,2
OPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.948399647200019,3,100.0,46,5,1,3
OPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.128753311199972,5,100.0,47,5,1,3
OPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.360670198800044,8,62.5,54,5,1,3
OPUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.3245977644000142,2,50.0,46,5,1,3
OPUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.212121607199988,9,55.55555555555556,54,5,1,3
OPUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.309026496400013,2,100.0,41,5,1,3
OPUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.4834248499999934,2,100.0,40,5,1,3
OPUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-3.6697059248000152,1,0.0,40,5,1,3
OPUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.18250599000002588,4,75.0,41,5,1,5
OPUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.2089721268,4,50.0,41,5,1,4
OPUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.9309144811999968,1,100.0,42,7,1,2
OPUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-2.1072620303999923,10,50.0,49,5,1,2
OPUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.592743223200025,9,88.88888888888889,54,6,2,2
OPUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,13.38670711719998,10,90.0,54,6,1,3
OPUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.516252762399951,6,66.66666666666666,50,5,2,3
OPUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.421344838799978,3,33.33333333333333,54,6,1,3
OPUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,10.767945433600001,6,100.0,50,6,1,3
OPUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-8.98077571360002,8,75.0,50,6,1,3
OPUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.1461225868000247,4,75.0,48,5,2,3
