Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SEIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.279628058799988,14,92.85714285714286,52,5,2,9
SEIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.6816700764000316,9,77.77777777777779,52,5,1,8
SEIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.2448984571999953,3,100.0,54,8,1,9
SEIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.11908676479999158,4,75.0,54,8,1,9
SEIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.211117749999968,15,86.66666666666667,52,5,1,4
SEIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,15.273697196400061,16,87.5,53,5,1,3
SEIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.37542690640002263,5,80.0,53,5,1,5
SEIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.512817230799951,9,55.55555555555556,53,5,1,3
SEIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.9460239224000189,8,75.0,41,5,2,3
SEIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-5.152498927200044,5,60.0,53,5,1,2
SEIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.5100207640000418,2,50.0,42,5,1,1
SEIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,10.547034616800023,2,100.0,41,5,2,1
SEIUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-2.633078723200011,2,50.0,41,5,1,1
SEIUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.0720778972,4,50.0,40,6,1,5
SEIUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.7100845908000113,3,66.66666666666666,53,6,1,3
SEIUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.9600492660000652,10,40.0,40,5,1,9
SEIUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-9.973441373600034,2,50.0,40,7,2,2
SEIUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,40,9,2,3
SEIUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-2.4956956031999655,2,50.0,54,9,1,9
SEIUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.2665637815999711,5,80.0,54,9,1,9
SEIUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.582172235999967,1,0.0,50,8,2,7
SEIUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.5754922439999977,1,100.0,51,8,2,5
SEIUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.1836752068000305,10,70.0,53,6,2,7
SEIUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,10.731252629599929,6,100.0,54,7,2,3
SEIUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.6508685663999878,7,71.42857142857143,53,6,1,3
SEIUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.034469891999992,5,60.0,46,6,1,2
SEIUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-5.017164614399972,2,0.0,54,6,2,3
SEIUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,10.57067361840005,9,100.0,52,5,2,3
SEIUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.920268335199984,9,66.66666666666666,51,5,1,2
SEIUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.8237845992000725,8,87.5,52,5,1,2
