Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SOLUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,18.23639067600009,5,80.0,40,9,1,1
SOLUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,5.948628647999987,2,100.0,41,9,1,1
SOLUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.0493397280000325,3,66.66666666666666,40,6,1,5
SOLUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.3296861000000151,1,0.0,40,7,1,2
SOLUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.247038835999996,4,50.0,41,8,1,1
SOLUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,9.632744484,6,66.66666666666666,41,8,1,1
SOLUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.17428609199999,2,100.0,46,7,1,1
SOLUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,10.050531624000003,5,80.0,42,7,2,2
SOLUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.0698380599999613,3,66.66666666666666,46,6,2,5
SOLUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-7.723974227999985,1,0.0,42,7,2,2
SOLUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,43,8,2,4
SOLUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,7.482803739999988,2,100.0,46,7,1,1
SOLUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,7.0532463519999755,3,100.0,53,5,2,2
SOLUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,11.29615960400001,3,100.0,49,6,1,1
SOLUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.299749148000029,2,50.0,51,6,2,1
SOLUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-17.862033068000006,4,25.0,51,6,1,1
SOLUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-4.7383161800000355,1,0.0,54,6,2,1
SOLUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,41,6,1,1
SOLUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3365237959999767,1,100.0,53,9,2,9
SOLUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.193848307999993,1,0.0,46,7,2,1
SOLUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,44,9,2,9
SOLUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,52,9,2,9
SOLUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-15.139297679999986,2,0.0,43,7,2,1
SOLUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.6426464000000243,2,100.0,54,9,2,9
SOLUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,2.116079839999996,5,80.0,53,5,1,6
SOLUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-2.0846633999999753,3,33.33333333333333,54,5,1,3
SOLUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-7.156294319999956,2,0.0,54,5,1,4
SOLUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-12.37017652000002,7,71.42857142857143,54,5,2,6
SOLUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.20840448000001288,1,100.0,51,9,2,1
SOLUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,5.030620800000007,1,100.0,51,9,1,1
