Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SOLUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.9743429479999852,3,100.0,48,9,2,6
SOLUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,49,9,2,6
SOLUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,54,7,2,2
SOLUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.030367155999983,2,100.0,40,6,1,1
SOLUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.689299919999982,5,60.0,54,7,2,1
SOLUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.7816755719999744,6,66.66666666666666,53,7,1,1
SOLUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.9220575359999872,1,100.0,41,6,2,1
SOLUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,6.9050292960000315,6,83.33333333333334,41,6,2,3
SOLUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.9662379679999722,5,80.0,50,5,2,5
SOLUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.9177009639999789,3,66.66666666666666,50,5,2,5
SOLUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.599561004000006,3,100.0,41,5,2,4
SOLUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,3.49417674000001,4,75.0,40,5,1,3
SOLUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.8663097999999776,4,75.0,53,5,2,3
SOLUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.1498720879999755,3,33.33333333333333,47,5,1,1
SOLUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.417693567999968,2,100.0,53,6,1,2
SOLUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.1711221320000185,9,33.33333333333333,43,5,2,1
SOLUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,53,6,2,1
SOLUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.929329247999979,3,100.0,43,6,1,3
SOLUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.061626479999968,1,100.0,43,6,1,1
SOLUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.37034140000000715,1,100.0,42,6,1,3
SOLUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.19851559999999324,1,100.0,45,5,1,6
SOLUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.8377887999999611,1,100.0,45,5,1,4
SOLUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.1963047599999999,7,71.42857142857143,52,5,2,2
SOLUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-4.3516336800000115,2,0.0,53,6,1,1
SOLUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.5170562400000023,4,50.0,54,5,1,4
SOLUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.6789769999999917,4,50.0,41,5,1,2
SOLUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-7.024104599999969,2,0.0,41,5,2,1
SOLUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-0.8442729199999999,10,70.0,43,5,1,6
SOLUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,1.5139835200000284,5,80.0,43,5,2,4
SOLUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.09823368000001498,1,0.0,42,5,2,4
SOLUSDT,30min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-0.5778872399999413,11,63.63636363636363,43,5,1,6
SOLUSDT,30min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,1.4940701999999861,1,100.0,50,8,1,4
SOLUSDT,30min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,0.8841783200000064,2,50.0,40,7,1,5
