Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SUIUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-18.570924818399902,17,58.82352941176471,54,5,1,2
SUIUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.168372911999995,4,50.0,47,7,1,2
SUIUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.6876985156000233,3,33.33333333333333,49,9,1,2
SUIUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,44,9,1,2
SUIUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.642152997999996,3,100.0,51,9,1,2
SUIUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-2.9494416027999293,5,40.0,51,9,1,2
SUIUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.3197433340000018,1,100.0,51,9,2,3
SUIUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,10.905343672399992,8,87.5,52,6,2,3
SUIUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.1620763599999862,1,100.0,53,6,1,3
SUIUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.559309792799993,3,100.0,54,6,2,3
SUIUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.7799927435999665,2,50.0,54,5,1,5
SUIUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,3.820659693600015,3,100.0,54,5,1,5
SUIUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.22759735960004024,3,66.66666666666666,51,6,2,2
SUIUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.701174199200008,4,75.0,54,6,1,3
SUIUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.646048496800013,3,100.0,48,5,1,3
SUIUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-24.42829395359999,8,62.5,49,5,1,3
SUIUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.044549819599959406,2,50.0,42,9,2,1
SUIUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,53,9,2,4
SUIUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.468949671599984,4,100.0,54,9,2,9
SUIUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,4.98042934999996,6,100.0,54,8,1,6
SUIUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.009085796800012425,7,57.14285714285714,54,5,1,7
SUIUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.386184672799987,3,66.66666666666666,49,7,1,5
SUIUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-6.240844473200102,8,62.5,41,7,1,3
SUIUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.6299142831999864,2,100.0,41,7,2,3
SUIUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-14.3711817292,5,40.0,41,7,1,3
SUIUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.0474711115999975,6,83.33333333333334,41,7,2,7
SUIUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-2.031917546399997,2,50.0,45,7,2,8
SUIUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.0233315423999745,4,100.0,45,7,2,9
SUIUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.63590249279997,5,80.0,53,8,2,6
SUIUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.419969498400043,8,87.5,51,5,2,6
