Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SUIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-22.055743610399993,10,90.0,48,5,1,5
SUIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.5509556828000157,8,62.5,51,5,1,5
SUIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,7.401026262799926,6,83.33333333333334,54,5,1,5
SUIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.921067693200019,5,100.0,52,5,1,8
SUIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.63500181520003,7,100.0,54,6,2,3
SUIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,26.422549041199915,10,100.0,54,5,1,5
SUIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,6.046751538000028,7,71.42857142857143,52,5,1,3
SUIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.3076310604000385,6,66.66666666666666,52,5,1,3
SUIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.291327072400028,3,66.66666666666666,42,6,1,2
SUIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9705979676000407,5,80.0,42,6,1,2
SUIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.4172061535999925,1,100.0,46,8,2,2
SUIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,6.348165883199974,3,100.0,40,7,2,2
SUIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,7.6525587695999375,3,100.0,41,7,1,6
SUIUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.3053601536000103,3,33.33333333333333,44,8,2,2
SUIUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.628020411599998,2,100.0,49,7,1,3
SUIUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-45.874140578799995,2,0.0,48,7,1,4
SUIUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.32352425760003,2,50.0,41,9,2,1
SUIUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,7.353441714000009,2,50.0,53,9,2,1
SUIUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-22.41910920439998,3,33.33333333333333,46,9,2,1
SUIUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.7863039259999667,4,100.0,47,9,2,9
SUIUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.997118312800005,2,50.0,40,9,1,9
SUIUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.11107718039999881,2,50.0,40,9,2,9
SUIUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-11.253553475200007,6,66.66666666666666,40,8,2,3
SUIUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.034595025200028,4,100.0,53,8,2,8
SUIUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-4.596136955999974,6,33.33333333333333,49,5,2,9
SUIUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,12.770717158,3,100.0,52,8,1,5
SUIUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.8517156404000534,3,66.66666666666666,50,7,1,7
SUIUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,6.179757750799952,8,87.5,49,5,2,5
SUIUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-0.9962309475999742,8,62.5,49,5,2,6
SUIUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,7.47527671520003,3,100.0,47,8,1,3
