Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
TRXUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,51,7,2,2
TRXUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,47,5,2,2
TRXUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.700295206879976,1,100.0,45,5,2,2
TRXUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,47,5,2,2
TRXUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.5189420653200161,1,100.0,47,5,1,2
TRXUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.1913489874400227,1,100.0,46,5,2,2
TRXUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,51,5,2,2
TRXUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.23095324580000298,2,50.0,51,5,1,2
TRXUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,51,5,2,2
TRXUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,48,5,2,2
TRXUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,54,5,1,6
TRXUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,51,5,2,2
TRXUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,48,5,2,2
TRXUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,48,5,1,2
TRXUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,43,5,1,2
TRXUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.346377939679988,1,0.0,44,5,1,2
TRXUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-1.5361653705599942,2,0.0,41,5,2,2
TRXUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,41,8,2,6
TRXUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,54,8,1,6
TRXUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,54,8,2,5
TRXUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,40,8,1,7
TRXUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,42,8,2,1
TRXUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.508459436200015,1,100.0,53,8,1,9
TRXUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.721761868839967,4,100.0,50,5,1,5
TRXUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-70.74916447755999,7,57.14285714285714,54,5,1,2
TRXUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.9123732672000173,1,100.0,50,9,2,9
TRXUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,50,9,2,1
TRXUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,42,9,2,9
TRXUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.5924832566400084,1,100.0,46,9,2,9
TRXUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,47,9,2,1
