Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
TRXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.42595986776002,2,100.0,53,5,2,2
TRXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,52,5,2,2
TRXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.1910374852399874,1,100.0,53,5,2,2
TRXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.8405309003200134,1,100.0,45,5,2,2
TRXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.7706521409999834,1,100.0,53,5,1,2
TRXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.44499143079999026,1,100.0,46,5,1,2
TRXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,46,5,2,2
TRXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.3756891812800145,1,100.0,46,5,1,5
TRXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,46,5,1,5
TRXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,46,5,2,4
TRXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,52,8,1,3
TRXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.17703889420002117,1,100.0,48,5,1,5
TRXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,49,5,1,3
TRXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,46,5,2,3
TRXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,51,5,1,2
TRXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.4727434194000022,1,100.0,51,5,1,2
TRXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-7.146674743639991,2,0.0,51,5,1,2
TRXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,54,8,2,4
TRXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,41,6,2,6
TRXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,41,6,2,5
TRXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,41,6,2,8
TRXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,41,6,2,6
TRXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.2872214571199923,2,50.0,54,9,1,5
TRXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.372586566440042,2,100.0,44,7,1,3
TRXUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.419354007040019,4,25.0,45,7,2,2
TRXUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.394658172560016,1,100.0,41,9,2,9
TRXUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,47,9,1,1
TRXUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,5.72620732907998,1,100.0,48,9,1,1
TRXUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.0,0,0,47,9,1,1
TRXUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,49,9,2,1
