Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
UNIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.8607288800000186,5,60.0,45,5,1,3
UNIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.621214231999992,2,50.0,45,6,2,2
UNIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,45,6,1,2
UNIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.824496712000027,3,33.33333333333333,43,6,1,3
UNIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,17.399782864000013,8,87.5,43,5,1,3
UNIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.9229073039999767,3,66.66666666666666,43,6,1,4
UNIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.584202304000029,1,0.0,42,6,2,4
UNIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-23.61303371600001,4,75.0,46,5,1,4
UNIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.011296935999963,3,66.66666666666666,46,5,1,1
UNIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,5.9840354960000175,2,100.0,46,5,2,1
UNIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.141488628000011,3,66.66666666666666,46,5,2,1
UNIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.963795008000014,5,80.0,42,9,2,9
UNIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,5.998941424000015,1,100.0,45,5,2,1
UNIUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.9654762600000089,1,100.0,41,9,2,8
UNIUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.44216580000000505,1,100.0,42,7,2,4
UNIUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.4567346760000044,4,75.0,41,6,2,6
UNIUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.2705684199999956,1,100.0,42,7,1,5
UNIUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7838489719999897,3,100.0,42,7,2,4
UNIUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.541233864000005,1,100.0,40,6,1,2
UNIUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-7.743783283999983,2,0.0,40,5,1,2
UNIUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.9566166679999988,3,66.66666666666666,41,5,2,2
UNIUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,3.431427840000034,5,80.0,41,5,1,6
UNIUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.4706199359999719,8,87.5,42,5,2,2
UNIUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.298436192000125,6,66.66666666666666,53,5,1,4
UNIUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.261023640000038,6,66.66666666666666,53,5,1,6
UNIUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.009890767999999,6,83.33333333333334,54,5,1,7
UNIUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.2076704439999975,3,33.33333333333333,54,6,1,9
UNIUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,6.2132412319999775,7,71.42857142857143,53,5,1,7
UNIUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-3.670375775999979,4,75.0,54,6,2,3
UNIUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.6219619199999915,1,100.0,54,7,2,8
