Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
UNIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.4696395919999965,7,85.71428571428571,48,5,1,5
UNIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.6164991000000137,2,100.0,48,5,2,3
UNIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,48,5,1,2
UNIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-14.064984219999953,5,40.0,49,5,1,2
UNIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,16.237419867999936,10,90.0,54,5,1,4
UNIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.510135856000044,9,88.88888888888889,53,5,1,5
UNIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.450718060000037,1,0.0,54,5,2,4
UNIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.8157063559999918,7,85.71428571428571,54,5,2,4
UNIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.0237460879999993,4,100.0,54,5,1,5
UNIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.8755627080000217,3,66.66666666666666,49,5,2,4
UNIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-14.222954784000063,7,57.14285714285714,41,5,2,4
UNIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.6917649280000733,8,75.0,41,6,2,6
UNIUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.33830882399998874,2,50.0,42,8,2,9
UNIUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.3738773439999843,3,66.66666666666666,51,7,1,8
UNIUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,44,7,2,9
UNIUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.8767905480000393,3,33.33333333333333,54,7,2,8
UNIUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5145442920000187,1,100.0,54,7,2,6
UNIUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.8051719840000304,3,100.0,51,7,2,3
UNIUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.6151888880000076,1,100.0,52,6,1,8
UNIUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.2150057479999754,3,100.0,54,6,1,8
UNIUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.11807172000000143,5,60.0,53,5,1,2
UNIUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.9733254039999482,5,80.0,54,5,2,6
UNIUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-15.211892471999999,8,75.0,51,5,1,2
UNIUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.1768439920000437,8,75.0,51,5,2,2
UNIUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-6.180766591999998,8,62.5,52,6,2,4
UNIUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,4.258024904000002,3,100.0,41,8,2,5
UNIUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.1379769839999998,1,100.0,52,8,2,5
UNIUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.422367487999976,2,100.0,52,8,2,5
UNIUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,10.156868467999969,2,100.0,52,8,2,5
UNIUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,52,8,2,6
