Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
WLDUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.542994381999942,4,50.0,54,6,2,4
WLDUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.933018186799987,5,80.0,52,6,2,3
WLDUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-3.088931144399998,3,66.66666666666666,54,5,1,5
WLDUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-97.75018585679997,3,0.0,52,6,2,4
WLDUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,27.75476586799992,9,77.77777777777779,49,7,1,1
WLDUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.663596741600041,6,100.0,54,9,2,9
WLDUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.9041524475999929,1,0.0,52,8,2,9
WLDUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,5.7301525996000136,3,66.66666666666666,52,9,1,9
WLDUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.2641786259999583,2,0.0,54,9,1,1
WLDUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,8.556678688800012,1,100.0,47,9,2,1
WLDUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,8.07872039719999,2,100.0,49,6,2,1
WLDUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.5114309204000262,2,50.0,54,5,1,1
WLDUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,5.88803677880001,4,75.0,43,7,1,4
WLDUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,16.91904757759999,3,100.0,47,5,2,1
WLDUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.4555274511999672,5,80.0,48,7,2,2
WLDUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-15.604147099200016,6,66.66666666666666,46,5,2,6
WLDUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-6.238418700799997,1,0.0,42,9,1,1
WLDUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,52,9,1,1
WLDUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,5.833689739999981,2,100.0,52,9,2,1
WLDUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-15.826618384000046,2,0.0,44,9,1,1
WLDUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-10.869700291600015,3,33.33333333333333,42,9,1,1
WLDUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,51,9,2,1
WLDUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.2653997708000455,3,66.66666666666666,51,9,1,9
WLDUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-10.145887071199999,5,80.0,40,8,2,5
WLDUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.0277486812000136,3,33.33333333333333,50,9,1,9
WLDUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,5.138660703999998,2,100.0,50,8,1,5
WLDUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,2.3805762667999497,3,66.66666666666666,50,8,1,7
WLDUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,10.773658257600061,3,66.66666666666666,50,9,2,7
WLDUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.3607259224000403,6,83.33333333333334,50,8,2,5
WLDUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.402342419600023,2,100.0,51,8,2,8
