Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
WLDUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.651489627200043,10,70.0,53,5,1,7
WLDUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.1354798847999836,5,60.0,54,5,1,6
WLDUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.739582863600031,3,33.33333333333333,53,5,2,5
WLDUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-83.13127468400002,10,70.0,54,5,1,6
WLDUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.2420467171999627,11,63.63636363636363,49,6,1,9
WLDUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,8.554021341200002,8,87.5,48,8,1,9
WLDUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.3659109100000224,2,50.0,49,8,1,9
WLDUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,8.431988971200033,7,85.71428571428571,47,8,1,9
WLDUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.801088101999996,7,85.71428571428571,47,8,1,7
WLDUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.034379456800008,4,100.0,47,8,1,9
WLDUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.8454005596000096,5,80.0,47,5,1,3
WLDUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,7.216697585999965,2,100.0,41,5,2,1
WLDUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,12.731927849199941,4,100.0,53,5,2,1
WLDUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,10.142845245599919,3,100.0,49,6,2,1
WLDUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-16.764700388400033,5,60.0,50,6,1,1
WLDUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.5731232815999854,7,42.857142857142854,49,6,1,3
WLDUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-3.1375644575999617,2,50.0,49,7,1,3
WLDUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.8842770472000234,3,100.0,49,7,1,5
WLDUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.676038534000004,2,100.0,49,7,1,5
WLDUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.2941781375999883,5,40.0,49,7,2,2
WLDUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-6.044806389999957,3,66.66666666666666,40,8,1,3
WLDUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.3161340743999883,1,100.0,42,8,1,5
WLDUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,16.809222057200035,17,82.35294117647058,40,5,1,4
WLDUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,7.6234059088000405,11,81.81818181818183,41,5,1,4
WLDUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,2.6080559832000194,4,75.0,40,9,1,3
WLDUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,8.699357165999988,3,100.0,40,9,1,4
WLDUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,3.6543617935999917,2,50.0,40,9,2,2
WLDUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,5.930279078400025,2,100.0,40,9,2,2
WLDUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.632414565200049,11,63.63636363636363,40,5,2,2
WLDUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,11.017299360800026,8,87.5,53,5,1,3
