Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
XRPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.990341040799986,4,100.0,46,6,2,2
XRPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,54,5,2,2
XRPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,53,5,1,2
XRPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,47,6,1,2
XRPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.923550043599947,9,88.88888888888889,45,5,2,2
XRPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.152805499599937,7,85.71428571428571,46,5,1,2
XRPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.5778512395999922,2,100.0,46,5,2,2
XRPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.8247481184000436,4,50.0,46,5,2,2
XRPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.8307867519999901,1,100.0,43,5,1,2
XRPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9724720568000231,1,100.0,54,5,1,2
XRPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.9658605555999973,2,100.0,54,5,2,2
XRPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.92594637999999,1,100.0,46,5,2,2
XRPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.4281342100000103,2,100.0,50,5,1,2
XRPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.1992978395999465,5,40.0,50,5,2,2
XRPUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.1378640559999393,5,40.0,54,5,1,2
XRPUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.576569939600047,7,57.14285714285714,44,5,2,2
XRPUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,43,5,1,8
XRPUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,41,7,2,2
XRPUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5321632128000076,1,100.0,43,7,1,5
XRPUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.22659537119997797,2,50.0,42,7,1,3
XRPUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,42,7,1,4
XRPUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,47,9,2,3
XRPUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-19.160751536799946,12,66.66666666666666,52,5,1,2
XRPUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-6.285957327200009,8,62.5,47,7,1,9
XRPUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,4.656153366400018,6,83.33333333333334,49,9,2,9
XRPUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,6.159240325199966,4,100.0,54,8,1,9
XRPUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.9501959544000016,1,100.0,53,8,1,4
XRPUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,4.5827009475999825,4,100.0,53,8,1,4
XRPUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-1.0850177012000084,5,60.0,43,7,1,5
XRPUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.5719974864000221,1,100.0,54,8,2,6
