Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
XRPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.10019871360001,3,66.66666666666666,46,5,1,2
XRPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.1209357676000193,2,100.0,40,5,2,2
XRPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.09867981599998021,1,100.0,42,5,2,2
XRPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.38879392800000856,1,0.0,48,5,1,2
XRPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.022004309599987,4,100.0,42,5,1,2
XRPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.43628505080000046,4,75.0,43,5,1,4
XRPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.088854531199935,2,50.0,54,5,2,2
XRPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-3.0875380919999973,3,66.66666666666666,40,5,2,3
XRPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.121893500000027,1,100.0,54,5,2,2
XRPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,46,5,2,2
XRPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.218129948799996,2,100.0,47,5,1,2
XRPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.1316956976000103,2,50.0,44,5,1,2
XRPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,46,5,1,5
XRPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-8.63402909800005,4,50.0,41,5,1,2
XRPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.978288315199996,3,66.66666666666666,41,5,1,2
XRPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.5822889140000083,7,57.14285714285714,41,5,2,6
XRPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.4713140123999926,1,100.0,40,5,1,9
XRPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,40,8,1,4
XRPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.13960774240000529,1,0.0,43,9,1,4
XRPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.3844698576000023,2,50.0,40,6,1,7
XRPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,42,6,1,6
XRPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.5577561968000078,1,100.0,42,6,2,5
XRPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-55.37505049159994,2,50.0,53,9,2,4
XRPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-32.456030191999965,4,50.0,42,9,2,8
XRPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,3.880672725600043,3,100.0,45,9,2,9
XRPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,46,9,2,1
XRPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-11.014604726000032,2,0.0,42,6,2,1
XRPUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-14.624181143999982,1,0.0,46,9,2,1
XRPUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.0,0,0,50,9,2,1
XRPUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-1.3648637951999776,1,0.0,41,7,2,1
