Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000PEPEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.275798509692394,3,33.33333333333333,39,36,8,6,True,54,2
1000PEPEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.121065160508047,3,0.0,39,42,5,1,False,38,3
1000PEPEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.331723984357149,7,71.42857142857143,33,20,1,1,True,54,4
1000PEPEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.513603167336397,6,83.33333333333334,31,36,2,7,True,54,5
1000PEPEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,26.50243162132724,3,100.0,31,52,9,8,True,46,2
1000PEPEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.30058485378399,1,0.0,31,28,9,1,True,66,2
1000PEPEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.40443242831479376,4,50.0,15,20,1,1,True,66,4
1000PEPEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.391423930923191,2,0.0,15,32,4,1,True,62,2
1000PEPEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.179320856961999,2,50.0,39,30,8,1,True,64,3
1000PEPEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,9.321656469869621,4,75.0,15,24,6,2,True,64,2
1000PEPEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.623386127042784,4,50.0,39,48,8,1,True,54,3
1000PEPEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.848279647616782,5,60.0,15,34,4,2,True,50,3
1000PEPEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8370697276415706,6,66.66666666666666,29,26,6,11,True,52,3
1000PEPEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,23.235003251985198,4,100.0,31,48,5,1,True,52,5
1000PEPEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,7.497617053152017,6,83.33333333333334,31,46,6,1,True,52,4
1000PEPEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-14.987754381129637,9,22.22222222222222,15,34,5,10,False,64,2
1000PEPEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9984162893271975,6,83.33333333333334,29,22,11,1,False,50,5
1000PEPEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,4.782342248829985,10,90.0,27,20,7,1,True,38,6
1000PEPEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.7335003231340287,2,0.0,19,44,11,1,True,34,4
1000PEPEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.7274391914692284,8,87.5,35,22,9,1,True,32,5
1000PEPEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,7.088110283221605,7,100.0,29,30,6,1,False,26,4
1000PEPEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.9334281506796271,6,50.0,17,44,8,5,False,78,2
1000PEPEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,29.28053327540279,23,86.95652173913044,8,20,4,1,True,28,3
1000PEPEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.862368366366423,8,75.0,30,34,5,1,False,52,2
1000PEPEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,13.630567817081563,5,80.0,12,8,2,2,True,70,3
1000PEPEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-3.452828897713589,2,0.0,18,52,4,7,True,54,2
1000PEPEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-3.593822398803226,9,77.77777777777779,38,34,3,1,False,66,3
1000PEPEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.4308529400087746,11,81.81818181818183,True,32,40,3,7,True,24,2
1000PEPEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-8.259058156485622,8,50.0,True,30,22,5,11,False,64,2
1000PEPEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.7117713726039865,3,100.0,True,10,46,9,1,True,46,7
1000PEPEUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-4.474501288781207,5,40.0,True,18,40,10,6,False,30,4
1000PEPEUSDT,1H,32,2024-12-26,2025-03-20,2025-03-20,2025-04-03,-2.8666071250236014,2,0.0,True,38,78,5,11,False,66,3
