Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000PEPEUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-7.871519308705244,5,60.0,23,38,11,11,True,56,2
1000PEPEUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.990408204024391,6,50.0,33,24,5,1,True,62,4
1000PEPEUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.4487809412119477,7,71.42857142857143,29,36,10,3,True,54,3
1000PEPEUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.505857736027187,4,100.0,35,52,11,1,True,54,2
1000PEPEUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,43.60402070946794,10,90.0,37,38,8,1,True,54,5
1000PEPEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.003629512394814,2,50.0,15,34,3,7,True,66,2
1000PEPEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.332229989656412,2,50.0,15,36,1,7,True,66,2
1000PEPEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.132517940638404,4,50.0,25,26,2,1,True,68,4
1000PEPEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.103332072314347,16,68.75,23,20,4,1,True,58,2
1000PEPEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,8.051472103796776,4,75.0,25,40,3,1,True,62,2
1000PEPEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.887638785591642,3,66.66666666666666,23,50,1,3,True,64,5
1000PEPEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.9310178296235945,2,50.0,27,48,5,4,True,60,5
1000PEPEUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.3866522516052378,8,75.0,27,22,3,6,True,62,4
1000PEPEUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-6.992041798700843,5,40.0,27,24,5,7,True,60,2
1000PEPEUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,5.722278779425194,4,75.0,25,22,7,7,True,64,3
1000PEPEUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-24.075675553015984,2,0.0,19,48,8,1,True,56,4
1000PEPEUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.976522019626815,4,100.0,39,54,11,1,True,40,5
1000PEPEUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.048442287512021,10,70.0,39,50,7,4,False,50,4
1000PEPEUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.7232499326151904,8,87.5,31,52,8,1,False,34,5
1000PEPEUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,6.846687473383994,12,83.33333333333334,39,52,7,1,True,40,5
1000PEPEUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.8847388984312845,16,81.25,21,38,6,1,True,42,5
1000PEPEUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.7515204160731814,4,50.0,37,54,10,3,True,44,3
1000PEPEUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,43.6644041287197,21,95.23809523809523,24,22,9,1,False,32,3
1000PEPEUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.130881125041632,18,72.22222222222221,16,36,6,1,True,36,3
