Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000SHIBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-7.233180217616009,1,0.0,18,40,11,1,True,64,5
1000SHIBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.29485254336802,4,50.0,4,26,8,3,True,66,3
1000SHIBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.011953673363995776,5,60.0,18,66,4,3,True,58,7
1000SHIBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.6804553251959842,6,83.33333333333334,20,30,8,3,True,64,5
1000SHIBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,14.406540236471987,23,78.26086956521739,16,58,5,3,True,50,3
1000SHIBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-6.198255693580013,6,33.33333333333333,6,20,6,10,True,70,2
1000SHIBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.339756257923963,13,69.23076923076923,30,52,8,3,True,50,2
1000SHIBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.576948366723988,5,60.0,30,16,1,8,True,74,2
1000SHIBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.7123319097000045,6,33.33333333333333,16,64,6,1,True,54,3
1000SHIBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.7033827924919707,4,50.0,22,20,8,5,True,72,2
1000SHIBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.153854283896006,14,85.71428571428571,12,10,4,2,True,74,3
1000SHIBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.1765053903040297,47,82.97872340425532,30,10,5,1,True,58,8
1000SHIBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-7.80203550483991,28,71.42857142857143,12,6,8,1,True,72,8
1000SHIBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.205130116644064,22,54.54545454545454,6,72,4,4,True,42,3
1000SHIBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.3539138313120147,18,33.33333333333333,4,32,8,3,False,36,4
1000SHIBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.099847765100009,32,53.125,10,62,4,8,False,78,3
1000SHIBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.6301016922119596,6,50.0,24,68,11,2,False,66,4
1000SHIBUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.8778739006679359,7,57.14285714285714,4,62,6,2,True,44,5
1000SHIBUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,30,78,7,9,True,68,1
1000SHIBUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.516422854112065,13,69.23076923076923,36,58,8,5,True,44,5
1000SHIBUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.9481396760799843,1,100.0,8,66,10,9,True,46,2
1000SHIBUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.7041859053240285,26,61.53846153846154,20,78,4,9,False,30,2
1000SHIBUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,3.856743636872051,19,63.1578947368421,38,76,4,5,False,26,3
1000SHIBUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,18.40163925925602,15,86.66666666666667,6,8,8,2,True,78,4
