Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000SHIBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.4038916709960159,3,33.33333333333333,26,34,7,4,True,56,2
1000SHIBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.5252469176640036,3,33.33333333333333,6,16,3,1,True,70,3
1000SHIBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7819924198479766,3,66.66666666666666,32,64,5,1,True,54,8
1000SHIBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.16037318220002428,1,0.0,30,38,10,7,True,56,3
1000SHIBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,14.087839481643938,32,75.0,4,18,1,2,True,54,3
1000SHIBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.065874177627997,1,0.0,8,18,1,7,True,70,2
1000SHIBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.798500376636039,7,57.14285714285714,30,38,2,3,False,62,3
1000SHIBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.540562488743996,2,0.0,22,16,4,1,True,68,3
1000SHIBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.586924217132002,7,28.57142857142857,26,30,7,3,False,70,3
1000SHIBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,6.07524592698403,6,83.33333333333334,36,20,9,2,True,54,3
1000SHIBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.5665810616559925,12,83.33333333333334,14,4,4,1,True,78,4
1000SHIBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.548829228467998,2,0.0,26,66,5,8,True,50,3
1000SHIBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.240567448383989,4,50.0,22,44,7,9,False,58,3
1000SHIBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.8441715751520085,3,33.33333333333333,18,62,9,1,False,62,3
1000SHIBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.2178165127240126,5,60.0,20,62,5,3,True,46,4
1000SHIBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.534479603212003,8,62.5,10,40,9,2,False,82,3
1000SHIBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.06731664108803326,8,62.5,8,34,7,1,False,50,5
1000SHIBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6361046959119765,1,100.0,16,54,11,1,False,48,6
1000SHIBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.4515376806999871,1,0.0,14,76,7,3,True,38,4
1000SHIBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.8848940251520618,14,50.0,10,76,1,11,False,26,2
1000SHIBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.1941624651000016,13,69.23076923076923,12,32,2,1,True,38,3
1000SHIBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.2890860648600446,16,50.0,8,66,2,3,False,78,2
1000SHIBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,12.316114591387993,20,70.0,8,16,9,1,False,84,2
1000SHIBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.729443661743996,8,87.5,6,66,1,7,True,56,3
