Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
AAVEUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-9.228756599999999,2,0.0,33,38,8,1,True,64,4
AAVEUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.328588600000008,1,0.0,25,28,1,4,True,68,4
AAVEUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.4304690000000111,2,0.0,23,28,6,1,True,66,7
AAVEUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,8.336103920000015,4,75.0,37,20,1,1,True,70,7
AAVEUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.094652360000042,5,80.0,32,60,9,4,False,72,2
AAVEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.662071040000005,3,33.33333333333333,4,78,1,1,True,56,4
AAVEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.315139999999995,22,81.81818181818183,14,18,8,4,True,52,2
AAVEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-24.93225499999998,10,70.0,22,62,1,1,True,52,4
AAVEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.9325140800000362,7,57.14285714285714,38,60,7,1,False,58,4
AAVEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.17197176000001146,6,66.66666666666666,20,40,5,4,True,56,2
AAVEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,11.724241359999986,15,73.33333333333333,36,44,5,7,False,24,1
AAVEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-8.871721879999972,18,50.0,8,58,4,8,False,36,1
AAVEUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.6268136400001705,45,64.44444444444444,4,46,1,7,False,34,1
AAVEUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.15483455999999451,1,0.0,16,68,10,6,True,54,9
AAVEUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.3104591999999693,10,80.0,14,52,7,2,False,52,2
AAVEUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.494952520000025,11,63.63636363636363,16,34,10,1,False,32,2
AAVEUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,17.536030799999992,9,100.0,26,32,11,4,True,54,1
AAVEUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,4.8332524800000165,2,50.0,22,40,5,5,True,62,3
AAVEUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,11.742913280000034,6,83.33333333333334,10,68,2,11,True,60,2
AAVEUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-12.214941080000008,4,0.0,12,16,10,6,True,68,1
AAVEUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.5586838000000167,5,60.0,20,18,4,8,True,68,2
AAVEUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-8.684021640000006,4,75.0,22,78,5,2,True,56,2
AAVEUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,9.375358960000014,6,66.66666666666666,12,24,4,9,True,68,2
AAVEUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,7.061608520000018,8,87.5,14,70,5,4,True,50,2
