Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
APTUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-7.173161024000041,14,78.57142857142857,19,46,2,1,True,58,3
APTUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.94107409199998,8,62.5,8,14,11,1,True,68,4
APTUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.4890013359999834,27,85.18518518518519,16,48,3,2,True,54,3
APTUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,9.832270735999993,10,70.0,8,28,10,5,True,62,2
APTUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,30.91653790799991,27,77.77777777777779,18,26,5,7,True,58,2
APTUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,22.15420796000016,33,72.72727272727273,18,16,6,6,True,60,2
APTUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-15.697158284,13,69.23076923076923,8,38,5,1,True,58,4
APTUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-28.43087392400001,2,0.0,22,26,6,1,True,66,2
APTUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.4934414920000156,48,64.58333333333334,6,64,3,1,False,40,2
APTUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.340711092000002,2,0.0,28,70,8,10,True,58,7
APTUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.9388645600000096,14,78.57142857142857,32,26,8,7,True,58,4
APTUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.9851546159999836,12,75.0,14,46,7,8,True,52,3
APTUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.0568405880000196,11,72.72727272727273,4,40,7,7,True,24,3
APTUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5989572399999865,10,60.0,4,56,6,6,False,76,3
APTUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.8972686359999935,5,80.0,38,68,11,1,False,62,4
APTUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.442107987999993,21,52.38095238095239,30,74,4,5,False,48,2
APTUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.464858303999983,1,100.0,4,40,10,6,False,64,2
APTUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6278807519999985,5,100.0,6,72,7,3,True,42,8
APTUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.4402245680000147,2,50.0,16,16,9,3,True,36,1
APTUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.9035438427999818,1,0.0,18,76,1,6,True,64,6
APTUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,7.919254293600053,19,68.42105263157895,32,76,4,6,False,64,2
APTUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.492869492399911,32,65.625,38,78,2,6,False,28,2
APTUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,14.343816122399966,48,77.08333333333334,26,78,1,1,True,24,2
APTUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.60416315720003,15,66.66666666666666,24,48,5,1,True,54,2
