Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
APTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.527118984000055,4,75.0,31,44,6,9,True,60,2
APTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.8216764640000207,2,0.0,17,32,9,3,True,62,2
APTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.289023923999947,2,50.0,20,32,1,4,True,62,2
APTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.2620372480000253,2,50.0,20,40,2,6,True,60,2
APTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.741717819999971,7,85.71428571428571,20,34,4,2,True,60,5
APTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.003759036000011,33,69.6969696969697,6,26,1,7,True,42,2
APTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-24.62886366799999,1,0.0,38,20,7,2,True,64,2
APTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.359223764000012,11,54.54545454545454,38,4,5,1,True,76,2
APTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,7.272120596000042,7,100.0,36,56,2,6,False,28,2
APTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.065261340000003,8,62.5,26,74,1,8,False,70,2
APTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,9.38495781199995,10,80.0,34,62,3,8,False,30,2
APTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.496661776000023,6,50.0,30,58,3,2,False,46,2
APTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2871199599999938,1,100.0,30,74,7,7,True,32,2
APTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.3221500239999813,3,100.0,30,44,7,10,True,48,3
APTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,5.233577495999997,6,66.66666666666666,30,52,7,1,False,70,2
APTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.9448438640000343,4,25.0,28,46,11,6,False,24,2
APTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-1.5550442879999737,2,50.0,24,60,8,6,False,72,2
APTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.8971111319999947,1,0.0,24,54,8,5,False,50,2
APTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.16951660559996196,5,60.0,28,68,3,1,True,28,3
APTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,14.161384990400073,12,91.66666666666666,36,32,6,3,False,78,2
APTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.6744811648000226,11,72.72727272727273,34,18,5,4,False,58,2
APTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-12.785874448800028,7,57.14285714285714,26,64,2,4,False,66,2
APTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,21.68819703960001,25,88.0,24,8,4,3,True,56,2
APTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.843973976799925,21,80.95238095238095,16,38,1,2,False,38,2
